Player,Team,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Opponent
Q de Kock ,South Africa,8,8,0,303,124,37.87,336,90.17,1,1,0,30,5,India
JM Bairstow ,England,6,5,0,302,128,60.40,251,120.31,1,2,0,38,7,Pakistan
RG Sharma ,India,7,6,0,302,103,50.33,281,107.47,1,2,0,35,11,Sri Lanka
Fakhar Zaman ,Pakistan,10,10,0,300,138,30.00,349,85.95,1,1,1,30,6,England
KS Williamson ,New Zealand,5,5,0,300,95,60.00,355,84.50,0,3,0,29,2,Pakistan
FDM Karunaratne ,Sri Lanka,8,8,0,296,83,37.00,369,80.21,0,3,0,28,1,West Indies
GJ Maxwell ,Australia,11,11,2,296,63*,32.88,190,155.78,0,2,0,24,15,India
DP Conway ,New Zealand,5,5,2,293,152*,97.66,296,98.98,2,0,0,36,4,England
Q de Kock ,South Africa,5,5,0,293,121,58.60,279,105.01,2,1,0,38,5,Sri Lanka
TWM Latham ,New Zealand,12,10,2,293,145*,36.62,284,103.16,1,1,2,34,7,India
RG Sharma ,India,4,4,0,293,140,73.25,247,118.62,1,2,0,28,13,Pakistan
Haris Sohail ,Pakistan,5,5,1,291,130,72.75,339,85.84,2,0,0,23,4,Australia
H Klaasen ,South Africa,7,6,0,291,109,48.50,230,126.52,1,1,0,25,8,England
DJ Malan ,England,4,4,0,291,127,72.75,286,101.74,1,2,0,37,4,New Zealand
HE van der Dussen ,South Africa,8,8,2,291,129*,48.50,331,87.91,1,1,1,22,5,India
UT Khawaja ,Australia,6,6,0,290,98,48.33,350,82.85,0,3,1,30,0,Pakistan
JC Buttler ,England,7,7,0,289,72,41.28,262,110.30,0,2,0,27,6,New Zealand
HM Nicholls ,New Zealand,7,7,0,289,80,41.28,386,74.87,0,2,0,33,2,India
BKG Mendis ,Sri Lanka,7,7,2,288,87*,57.60,324,88.88,0,2,0,22,5,Australia
JJ Roy ,England,10,8,0,287,113,35.87,297,96.63,1,1,0,31,7,South Africa
JJ Roy ,England,4,4,0,285,114,71.25,249,114.45,1,2,0,27,11,Pakistan
P Nissanka ,Sri Lanka,6,6,0,283,137,47.16,328,86.28,1,2,0,30,3,Australia
KL Rahul ,India,5,5,0,282,102,56.40,320,88.12,1,1,0,27,6,West Indies
KL Rahul ,India,7,6,1,281,111,56.20,319,88.08,1,1,0,26,2,Sri Lanka
RG Sharma ,India,6,6,0,280,101,46.66,246,113.82,1,1,0,28,18,New Zealand
BA Stokes ,England,10,7,1,280,84,46.66,279,100.35,0,2,0,27,9,Pakistan
T Bavuma ,South Africa,7,7,1,278,114*,46.33,335,82.98,1,1,2,29,4,Australia
SW Billings ,England,6,6,0,278,118,46.33,310,89.67,1,2,0,24,6,Australia
GJ Maxwell ,Australia,7,6,0,278,98,46.33,196,141.83,0,3,1,29,10,Pakistan
KIC Asalanka ,Sri Lanka,4,4,0,275,79,68.75,267,102.99,0,3,0,21,8,South Africa
TWM Latham ,New Zealand,8,6,2,275,110*,68.75,288,95.48,1,1,1,24,4,Bangladesh
JC Buttler ,England,6,5,1,274,110*,68.50,185,148.10,2,0,1,22,13,Pakistan
SS Iyer ,India,11,11,1,274,105,27.40,267,102.62,1,0,1,27,6,Australia
N Pooran ,West Indies,8,7,1,274,118,45.66,283,96.81,1,1,0,23,7,Sri Lanka
AJ Finch ,Australia,6,6,0,273,153,45.50,280,97.50,1,1,2,26,7,Sri Lanka
BKG Mendis ,Sri Lanka,9,9,1,273,54,34.12,399,68.42,0,2,0,23,5,Bangladesh
Shubman Gill ,India,7,7,0,272,104,38.85,288,94.44,1,1,1,22,8,Australia
AT Carey ,Australia,15,12,3,271,55*,30.11,263,103.04,0,1,1,27,3,India
Q de Kock ,South Africa,4,4,0,271,174,67.75,221,122.62,1,1,0,30,9,Bangladesh
KL Rahul ,India,6,6,2,271,112,67.75,247,109.71,1,1,0,20,10,New Zealand
DP Conway ,New Zealand,4,4,0,270,126,67.50,314,85.98,1,1,0,29,0,Bangladesh
DA Warner ,Australia,2,2,0,270,163,135.00,235,114.89,2,0,0,25,10,Pakistan
AT Carey ,Australia,8,8,2,269,106,44.83,297,90.57,1,0,1,23,2,England
LRPL Taylor ,New Zealand,4,4,2,268,109*,134.00,266,100.75,1,2,0,20,7,India
BKG Mendis ,Sri Lanka,5,5,1,267,119,66.75,276,96.73,1,1,0,27,2,West Indies
HE van der Dussen ,South Africa,7,6,1,266,108,53.20,303,87.78,1,2,0,26,2,Sri Lanka
SO Hetmyer ,West Indies,10,9,0,265,139,29.44,267,99.25,1,0,0,19,9,India
DJ Malan ,England,4,4,1,265,140,88.33,273,97.06,2,0,1,24,9,Bangladesh
Shakib Al Hasan ,Bangladesh,5,5,0,263,121,52.60,280,93.92,1,2,0,25,1,England
BA Stokes ,England,8,8,0,262,99,32.75,219,119.63,0,2,2,21,14,India
JM Bairstow ,England,6,6,0,257,112,42.83,323,79.56,1,1,2,26,6,Australia
V Kohli ,India,5,5,1,256,113,64.00,236,108.47,2,0,0,22,6,Bangladesh
AK Markram ,South Africa,8,8,1,255,77,36.42,248,102.82,0,1,1,21,4,England
KS Williamson ,New Zealand,6,5,2,252,94*,84.00,300,84.00,0,3,0,23,2,India
TM Head ,Australia,4,4,0,251,152,62.75,225,111.55,1,1,0,30,5,England
Mahmudullah ,Bangladesh,8,7,2,250,76*,50.00,338,73.96,0,1,0,16,8,New Zealand
HH Pandya ,India,7,6,0,245,71,40.83,201,121.89,0,2,0,22,8,England
JJ Roy ,England,7,7,0,245,66,35.00,219,111.87,0,2,1,33,5,India
