Player,Team,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Opponent
Imad Wasim ,Pakistan,5,5,3,141,50*,70.50,115,122.60,0,1,0,16,3,Australia
HE van der Dussen ,South Africa,5,5,1,140,86,35.00,167,83.83,0,1,0,12,2,Bangladesh
SA Yadav ,India,5,5,1,140,53,35.00,114,122.80,0,1,0,20,0,Sri Lanka
TWM Latham ,New Zealand,7,5,0,139,57,27.80,177,78.53,0,1,0,9,1,England
KU Carty ,West Indies,3,3,0,138,88,46.00,181,76.24,0,1,0,8,3,Australia
SSJ Brooks ,West Indies,6,6,0,137,46,22.83,192,71.35,0,0,2,11,3,India
EJG Morgan ,England,5,5,1,137,45*,34.25,144,95.13,0,0,0,20,1,Australia
Litton Das ,Bangladesh,4,4,0,135,50,33.75,189,71.42,0,1,0,19,2,South Africa
DM de Silva ,Sri Lanka,8,7,1,134,55*,22.33,177,75.70,0,1,0,12,1,Bangladesh
Fakhar Zaman ,Pakistan,3,3,0,134,76,44.66,167,80.23,0,2,0,13,2,Sri Lanka
H Klaasen ,South Africa,4,4,0,133,43,33.25,108,123.14,0,0,0,10,4,Sri Lanka
MM Ali ,England,8,7,1,132,51,22.00,123,107.31,0,1,0,13,5,South Africa
Haris Sohail ,Pakistan,4,4,0,132,68,33.00,145,91.03,0,1,0,8,4,New Zealand
AL Phehlukwayo ,South Africa,4,4,1,132,54,44.00,133,99.24,0,1,0,13,2,Pakistan
SV Samson ,India,5,5,1,132,54,33.00,136,97.05,0,2,0,5,8,West Indies
M Labuschagne ,Australia,5,5,0,131,56,26.20,175,74.85,0,2,1,6,0,New Zealand
MP Stoinis ,Australia,9,7,0,131,49,18.71,144,90.97,0,0,0,9,4,Pakistan
SSJ Brooks ,West Indies,3,3,0,130,70,43.33,165,78.78,0,1,0,12,2,Pakistan
MDKJ Perera ,Sri Lanka,2,2,0,130,78,65.00,118,110.16,0,2,0,17,1,Australia
Iftikhar Ahmed ,Pakistan,4,4,3,129,47,129.00,92,140.21,0,0,0,13,5,Sri Lanka
JDS Neesham ,New Zealand,6,6,0,129,58,21.50,125,103.20,0,1,0,8,5,Australia
TA Blundell ,New Zealand,6,6,3,128,68,42.66,140,91.42,0,1,0,10,2,Bangladesh
S Dhawan ,India,3,3,1,128,86*,64.00,144,88.88,0,1,0,15,1,Sri Lanka
SS Iyer ,India,4,4,0,128,82,32.00,172,74.41,0,1,0,10,3,Bangladesh
Mohammad Rizwan ,Pakistan,4,4,0,128,74,32.00,129,99.22,0,1,0,14,0,England
HH Pandya ,India,4,4,1,128,70*,42.66,111,115.31,0,1,0,9,5,West Indies
NLTC Perera ,Sri Lanka,5,5,0,128,38,25.60,107,119.62,0,0,0,11,1,West Indies
B Sai Sudharsan ,India,3,3,1,127,62,63.50,142,89.43,0,2,0,17,1,South Africa
I Udana ,Sri Lanka,4,4,1,127,78,42.33,127,100.00,0,1,0,11,5,South Africa
TWM Latham ,New Zealand,6,6,0,126,43,21.00,165,76.36,0,0,1,8,1,Australia
HM Nicholls ,New Zealand,5,5,0,126,55,25.20,165,76.36,0,1,1,9,1,England
KA Pollard ,West Indies,6,5,1,126,53*,31.50,110,114.54,0,1,1,11,4,Sri Lanka
JO Holder ,West Indies,11,9,3,125,57,20.83,174,71.83,0,1,0,2,5,India
AD Mathews ,Sri Lanka,2,2,0,125,113,62.50,153,81.69,1,0,0,11,2,India
JDS Neesham ,New Zealand,3,3,2,125,97*,125.00,137,91.24,0,1,0,7,3,Pakistan
MD Shanaka ,Sri Lanka,4,4,0,125,68,31.25,126,99.20,0,1,0,11,4,Pakistan
JT Smuts ,South Africa,2,2,0,125,84,62.50,162,77.16,0,1,0,15,0,Australia
BA Stokes ,England,2,2,1,125,82*,125.00,162,77.16,0,1,0,13,4,Sri Lanka
FH Allen ,New Zealand,3,3,0,124,96,41.33,150,82.66,0,1,0,9,5,West Indies
DM de Silva ,Sri Lanka,4,3,0,124,91,41.33,150,82.66,0,1,0,15,0,England
DJ Mitchell ,New Zealand,3,3,0,124,63,41.33,144,86.11,0,1,0,11,3,West Indies
MP Stoinis ,Australia,9,8,0,124,43,15.50,133,93.23,0,0,1,11,4,England
KNA Bandara ,Sri Lanka,3,3,1,123,55*,61.50,162,75.92,0,2,0,8,1,West Indies
Ishan Kishan ,India,3,3,0,123,93,41.00,139,88.48,0,1,0,9,7,South Africa
Mushfiqur Rahim ,Bangladesh,2,2,1,123,102*,123.00,121,101.65,1,0,0,9,2,Australia
P Nissanka ,Sri Lanka,6,6,0,123,41,20.50,162,75.92,0,0,1,17,0,Bangladesh
DJM Short ,Australia,3,3,0,123,69,41.00,151,81.45,0,1,0,9,0,South Africa
SN Thakur ,India,5,3,2,123,50*,123.00,112,109.82,0,1,0,13,2,South Africa
Babar Azam ,Pakistan,3,3,0,122,96,40.66,136,89.70,0,1,0,13,0,Bangladesh
Iftikhar Ahmed ,Pakistan,3,2,1,122,94*,122.00,94,129.78,0,1,0,13,2,New Zealand
C Karunaratne ,Sri Lanka,6,6,2,122,44*,30.50,130,93.84,0,0,0,11,2,India
N Pooran ,West Indies,4,4,0,122,91,30.50,114,107.01,0,1,0,6,9,New Zealand
MR Marsh ,Australia,1,1,0,121,121,121.00,108,112.03,1,0,0,10,9,Pakistan
AJ Turner ,Australia,5,4,1,121,84*,40.33,88,137.50,0,1,0,7,7,India
FA Allen ,West Indies,6,4,0,120,51,30.00,68,176.47,0,1,0,12,6,Sri Lanka
TM Head ,Australia,3,3,1,120,70*,60.00,132,90.90,0,1,0,8,3,Sri Lanka
FH Allen ,New Zealand,6,5,0,119,57,23.80,125,95.20,0,1,2,17,3,India
Q de Kock ,South Africa,2,2,0,119,114,59.50,124,95.96,1,0,0,11,3,New Zealand
M Jansen ,South Africa,3,3,2,119,75*,119.00,83,143.37,0,1,0,6,7,England
H Klaasen ,South Africa,1,1,1,119,119*,-,61,195.08,1,0,0,15,5,West Indies
AR Patel ,India,3,3,0,118,56,39.33,107,110.28,0,1,0,6,6,Bangladesh
KS Williamson ,New Zealand,2,2,1,118,78*,118.00,179,65.92,0,1,0,9,1,Bangladesh
L Gregory ,England,3,2,0,117,77,58.50,116,100.86,0,1,0,10,3,Pakistan
MD Shanaka ,Sri Lanka,4,4,0,117,68,29.25,124,94.35,0,1,0,10,3,South Africa
Towhid Hridoy ,Bangladesh,3,3,1,117,82,58.50,145,80.68,0,1,0,7,3,Sri Lanka
SM Curran ,England,8,6,0,116,35,19.33,97,119.58,0,0,0,5,8,South Africa
Ishan Kishan ,India,4,4,1,116,59,38.66,125,92.80,0,1,0,12,3,Sri Lanka
WG Jacks ,England,3,3,0,116,73,38.66,116,100.00,0,1,0,11,5,West Indies
FDM Karunaratne ,Sri Lanka,5,5,0,116,46,23.20,146,79.45,0,0,0,14,0,Bangladesh
GD Phillips ,New Zealand,8,5,0,116,41,23.20,138,84.05,0,0,0,9,4,India
N Pooran ,West Indies,4,4,0,116,73,29.00,164,70.73,0,1,1,9,3,Bangladesh
R Ravindra ,New Zealand,1,1,0,116,116,116.00,89,130.33,1,0,0,9,5,Australia
A Athanaze ,West Indies,3,3,0,115,66,38.33,130,88.46,0,1,0,16,2,England
HC Brook ,England,3,3,1,115,71,57.50,124,92.74,0,1,0,9,4,West Indies
DJ Hooda ,India,5,4,1,115,33,38.33,125,92.00,0,0,0,7,1,West Indies
Fakhar Zaman ,Pakistan,3,3,0,114,81,38.00,136,83.82,0,1,0,7,7,Bangladesh
C Green ,Australia,2,2,2,114,89*,-,104,109.61,0,1,0,12,3,New Zealand
Mohammad Mithun ,Bangladesh,4,4,1,114,73*,38.00,156,73.07,0,1,0,10,2,New Zealand
HH Pandya ,India,4,3,0,114,54,38.00,138,82.60,0,1,0,8,3,New Zealand
Shadab Khan ,Pakistan,4,4,0,114,86,28.50,110,103.63,0,1,1,5,4,West Indies
HH Pandya ,India,4,2,0,113,87,56.50,109,103.66,0,1,0,9,2,Pakistan
Abid Ali ,Pakistan,2,2,0,112,112,56.00,120,93.33,1,0,1,9,0,Australia
MR Marsh ,Australia,4,4,0,112,52,28.00,151,74.17,0,1,0,16,1,Sri Lanka
WA Young ,New Zealand,2,2,1,112,86*,112.00,141,79.43,0,1,0,13,1,Sri Lanka
KR Mayers ,West Indies,3,3,0,111,105,37.00,122,90.98,1,0,1,13,3,New Zealand
Najmul Hossain Shanto ,Bangladesh,4,4,0,111,58,27.75,155,71.61,0,2,2,11,0,England
Shan Masood ,Pakistan,5,5,0,111,50,22.20,145,76.55,0,1,1,12,0,Australia
C Green ,Australia,3,2,1,110,77*,110.00,145,75.86,0,1,0,9,3,West Indies
PW Hasaranga ,Sri Lanka,4,4,1,110,74,36.66,100,110.00,0,1,0,6,5,Bangladesh
RA Jadeja ,India,9,7,5,110,39*,55.00,117,94.01,0,0,0,8,0,West Indies
JE Root ,England,6,6,1,110,49*,22.00,157,70.06,0,0,1,16,1,Australia
MP Stoinis ,Australia,8,7,1,110,31*,18.33,111,99.09,0,0,2,14,1,India
MJ Guptill ,New Zealand,4,4,0,109,38,27.25,85,128.23,0,0,0,11,6,Bangladesh
TM Head ,Australia,1,1,0,109,109,109.00,67,162.68,1,0,0,10,7,New Zealand
JP Inglis ,Australia,3,3,1,109,65,54.50,70,155.71,0,1,0,15,2,West Indies
C Karunaratne ,Sri Lanka,6,6,1,109,75,21.80,121,90.08,0,1,0,9,3,Australia
Shakib Al Hasan ,Bangladesh,6,6,0,109,82,18.16,127,85.82,0,1,1,15,2,Sri Lanka
Washington Sundar ,India,6,4,1,109,51,36.33,108,100.92,0,1,0,9,4,New Zealand
Babar Azam ,Pakistan,4,3,0,108,50,36.00,139,77.69,0,1,0,12,1,India
JO Holder ,West Indies,4,4,0,108,52,27.00,145,74.48,0,2,1,13,2,Australia
R Shepherd ,West Indies,3,3,1,108,48,54.00,72,150.00,0,0,0,11,6,England
SM Curran ,England,3,2,1,107,95*,107.00,103,103.88,0,1,0,10,3,India
KM Jadhav ,India,7,6,2,107,40,26.75,91,117.58,0,0,0,11,2,West Indies
DJ Mitchell ,New Zealand,4,4,0,106,54,26.50,138,76.81,0,1,0,11,1,Australia
Mushfiqur Rahim ,Bangladesh,5,4,0,106,78,26.50,140,75.71,0,1,0,10,0,South Africa
KS Williamson ,New Zealand,1,1,1,106,106*,-,138,76.81,1,0,0,9,1,South Africa
AK Markram ,South Africa,3,3,0,105,60,35.00,128,82.03,0,1,1,11,0,Bangladesh
DA Miller ,South Africa,3,3,3,105,41*,-,100,105.00,0,0,0,7,3,Sri Lanka
PP Shaw ,India,3,3,0,105,49,35.00,84,125.00,0,0,0,20,0,Sri Lanka
AJ Finch ,Australia,4,4,0,104,69,26.00,151,68.87,0,1,0,10,2,South Africa
PD Salt ,England,3,3,0,104,60,34.66,89,116.85,0,1,0,18,0,Pakistan
MJ Santner ,New Zealand,5,5,2,104,37,34.66,97,107.21,0,0,0,5,3,Pakistan
Shakib Al Hasan ,Bangladesh,2,2,0,104,64,52.00,119,87.39,0,1,0,10,2,New Zealand
JM Bairstow ,England,2,2,0,103,52,51.50,109,94.49,0,2,0,14,0,Bangladesh
TA Blundell ,New Zealand,3,3,0,103,65,34.33,129,79.84,0,1,0,13,0,Pakistan
HC Brook ,England,4,4,0,103,80,25.75,112,91.96,0,1,1,10,5,South Africa
S Dhawan ,India,3,3,0,103,72,34.33,132,78.03,0,1,0,16,1,New Zealand
JE Root ,England,2,2,0,103,82,51.50,97,106.18,0,1,0,9,1,Bangladesh
Shubman Gill ,India,4,4,0,103,49,25.75,114,90.35,0,0,0,17,1,South Africa
Tamim Iqbal ,Bangladesh,6,6,0,103,52,17.16,147,70.06,0,1,1,13,1,Sri Lanka
JM Bairstow ,England,5,4,0,102,43,25.50,89,114.60,0,0,1,12,2,Sri Lanka
Fakhar Zaman ,Pakistan,4,4,0,102,67,25.50,97,105.15,0,1,1,13,2,Australia
BA King ,West Indies,2,2,0,102,72,51.00,101,100.99,0,1,0,15,1,South Africa
EJG Morgan ,England,4,3,1,102,75*,51.00,135,75.55,0,1,0,11,1,Sri Lanka
N Pooran ,West Indies,4,4,1,102,59*,34.00,120,85.00,0,1,1,7,3,Australia
MJ Santner ,New Zealand,6,6,1,102,30,20.40,132,77.27,0,0,0,7,3,Australia
Shoaib Malik ,Pakistan,4,4,0,102,60,25.50,120,85.00,0,1,1,5,2,Australia
CR Brathwaite ,West Indies,1,1,0,101,101,101.00,82,123.17,1,0,0,9,5,New Zealand
Mahmudullah ,Bangladesh,2,2,0,101,69,50.50,78,129.48,0,1,0,6,6,Australia
RR Pant ,India,3,3,0,101,85,33.66,94,107.44,0,1,1,11,2,South Africa
K Verreynne ,South Africa,3,3,0,101,50,33.66,120,84.16,0,1,0,5,3,Australia
DP Conway ,New Zealand,4,4,0,100,46,25.00,131,76.33,0,0,0,15,1,Australia
F du Plessis ,South Africa,1,1,0,100,100,100.00,94,106.38,1,0,0,7,2,Australia
C Green ,Australia,7,6,0,100,31,16.66,144,69.44,0,0,0,6,2,India
PW Hasaranga ,Sri Lanka,3,3,0,100,54,33.33,147,68.02,0,1,0,9,1,England
JE Root ,England,1,1,1,100,100*,-,94,106.38,1,0,0,11,0,West Indies
LD Chandimal ,Sri Lanka,3,3,0,99,71,33.00,149,66.44,0,1,0,5,2,West Indies
JO Holder ,West Indies,4,3,0,99,62,33.00,93,106.45,0,1,0,8,3,Bangladesh
GSNFG Jayasuriya ,Sri Lanka,2,2,0,99,96,49.50,115,86.08,0,1,0,7,1,Pakistan
Mahmudullah ,Bangladesh,4,4,0,99,32,24.75,147,67.34,0,0,0,7,2,England
DJ Malan ,England,4,4,1,99,68*,33.00,116,85.34,0,1,2,13,0,Pakistan
Mushfiqur Rahim ,Bangladesh,5,5,0,99,38,19.80,151,65.56,0,0,0,6,1,India
GD Phillips ,New Zealand,5,3,0,99,72,33.00,112,88.39,0,1,0,7,2,England
AU Rashid ,England,7,6,3,99,35*,33.00,85,116.47,0,0,0,7,4,Australia
BA Stokes ,England,3,3,0,99,89,33.00,98,101.02,0,1,0,10,0,South Africa
CE McConchie ,New Zealand,3,3,1,98,64*,49.00,84,116.66,0,1,0,8,3,Pakistan
WA Young ,New Zealand,5,5,0,98,33,19.60,117,83.76,0,0,1,15,0,England
Z Crawley ,England,3,3,1,97,58*,48.50,85,114.11,0,1,1,14,0,Pakistan
FDM Karunaratne ,Sri Lanka,1,1,0,97,97,97.00,108,89.81,0,1,0,9,0,Australia
Khushdil Shah ,Pakistan,3,3,1,97,41*,48.50,97,100.00,0,0,0,6,4,West Indies
RL Chase ,West Indies,3,3,0,96,59,32.00,134,71.64,0,1,0,9,0,Australia
Haris Sohail ,Pakistan,2,2,0,96,56,48.00,98,97.95,0,1,0,4,1,Sri Lanka
M Labuschagne ,Australia,4,4,0,96,59,24.00,106,90.56,0,1,0,8,0,Pakistan
DJ Mitchell ,New Zealand,3,3,0,96,47,32.00,97,98.96,0,0,0,9,4,Sri Lanka
Najmul Hossain Shanto ,Bangladesh,6,6,0,96,37,16.00,160,60.00,0,0,0,12,0,West Indies
MD Shanaka ,Sri Lanka,3,3,1,96,48*,48.00,141,68.08,0,0,0,4,3,England
DJ Willey ,England,4,4,1,96,41,32.00,107,89.71,0,0,0,6,5,India
WIA Fernando ,Sri Lanka,3,3,0,95,82,31.66,102,93.13,0,1,0,9,2,Bangladesh
KH Pandya ,India,3,3,2,95,58*,95.00,74,128.37,0,1,0,8,2,England
Soumya Sarkar ,Bangladesh,3,3,0,95,69,31.66,121,78.51,0,1,0,7,1,Sri Lanka
BM Duckett ,England,3,3,0,94,71,31.33,103,91.26,0,1,0,10,1,West Indies
SD Hope ,West Indies,4,4,0,94,51,23.50,156,60.25,0,1,0,8,2,New Zealand
CH Gayle ,West Indies,4,4,0,93,72,23.25,115,80.86,0,1,0,10,5,India
TWM Latham ,New Zealand,4,4,0,93,69,23.25,113,82.30,0,1,1,7,0,West Indies
Litton Das ,Bangladesh,3,3,0,93,45,31.00,117,79.48,0,0,0,13,0,Pakistan
P Nissanka ,Sri Lanka,4,4,1,93,77*,31.00,131,70.99,0,1,0,9,2,England
Saud Shakeel ,Pakistan,4,4,1,93,56,31.00,130,71.53,0,1,0,9,0,England
MD Shanaka ,Sri Lanka,5,5,1,93,30,23.25,111,83.78,0,0,0,5,3,Bangladesh
NM Coulter-Nile ,Australia,1,1,0,92,92,92.00,60,153.33,0,1,0,8,4,West Indies
PSP Handscomb ,Australia,5,4,1,92,47,30.66,86,106.97,0,0,0,9,0,Pakistan
SA Yadav ,India,4,3,0,92,49,30.66,104,88.46,0,0,0,6,2,England
SA Yadav ,India,8,7,1,92,34*,15.33,79,116.45,0,0,0,7,5,New Zealand
SA Abbott ,Australia,3,3,0,91,49,30.33,65,140.00,0,0,0,12,1,Pakistan
N Pooran ,West Indies,4,4,1,91,34*,30.33,84,108.33,0,0,0,6,6,Pakistan
R Ravindra ,New Zealand,3,2,0,91,49,45.50,86,105.81,0,0,0,7,4,Sri Lanka
H Klaasen ,South Africa,1,1,0,90,90,90.00,49,183.67,0,1,0,2,8,Bangladesh
Shadab Khan ,Pakistan,4,4,1,90,43,30.00,90,100.00,0,0,0,6,3,South Africa
MS Wade ,Australia,3,3,1,90,51*,45.00,124,72.58,0,1,0,7,2,West Indies
Afif Hossain ,Bangladesh,3,2,0,89,72,44.50,120,74.16,0,1,0,10,1,South Africa
Fakhar Zaman ,Pakistan,3,2,0,89,62,44.50,125,71.20,0,1,0,9,1,India
Haris Sohail ,Pakistan,1,1,0,89,89,89.00,59,150.84,0,1,0,9,3,South Africa
UT Khawaja ,Australia,1,1,0,89,89,89.00,72,123.61,0,1,0,10,0,Bangladesh
Mehidy Hasan Miraz ,Bangladesh,9,8,0,89,43,11.12,111,80.18,0,0,2,12,0,Sri Lanka
DA Miller ,South Africa,2,2,0,89,53,44.50,67,132.83,0,1,0,4,5,New Zealand
Mohammad Rizwan ,Pakistan,2,2,2,89,63*,-,100,89.00,0,1,0,11,1,Bangladesh
PBB Rajapaksa ,Sri Lanka,3,3,0,89,65,29.66,79,112.65,0,1,1,14,2,India
LRPL Taylor ,New Zealand,2,2,0,89,82,44.50,105,84.76,0,1,0,10,0,Bangladesh
UT Khawaja ,Australia,1,1,0,88,88,88.00,129,68.21,0,1,0,5,0,New Zealand
MDKJ Perera ,Sri Lanka,5,5,0,88,73,17.60,101,87.12,0,1,1,9,0,England
R Ravindra ,New Zealand,2,2,0,88,75,44.00,109,80.73,0,1,0,9,1,India
Tamim Iqbal ,Bangladesh,4,4,0,88,35,22.00,132,66.66,0,0,0,10,0,England
K Verreynne ,South Africa,3,3,1,88,58*,44.00,118,74.57,0,1,0,7,3,Bangladesh
KU Carty ,West Indies,1,1,0,87,87,87.00,96,90.62,0,1,0,6,1,Sri Lanka
DM de Silva ,Sri Lanka,4,4,1,87,51,29.00,84,103.57,0,1,0,10,0,West Indies
CH Gayle ,West Indies,1,1,0,87,87,87.00,84,103.57,0,1,0,8,6,New Zealand
JM Vince ,England,4,4,0,87,60,21.75,125,69.60,0,1,1,4,2,Australia
SA Abbott ,Australia,6,5,0,86,54,17.20,77,111.68,0,1,1,6,6,India
Mosaddek Hossain ,Bangladesh,4,4,0,86,51,21.50,127,67.71,0,1,0,5,1,Sri Lanka
AR Patel ,India,4,3,1,86,64*,43.00,64,134.37,0,1,0,4,6,West Indies
SW Ambris ,West Indies,4,4,0,85,60,21.25,100,85.00,0,1,0,8,1,Sri Lanka
Fakhar Zaman ,Pakistan,4,4,0,85,35,21.25,112,75.89,0,0,0,11,1,West Indies
Hasan Ali ,Pakistan,9,8,3,85,31,17.00,58,146.55,0,0,0,6,7,England
Mahmudullah ,Bangladesh,2,2,0,85,56,42.50,111,76.57,0,1,0,9,1,Pakistan
AD Mathews ,Sri Lanka,2,1,1,85,85*,-,115,73.91,0,1,0,5,1,England
Mehidy Hasan Miraz ,Bangladesh,8,6,1,85,30,17.00,114,74.56,0,0,1,5,2,New Zealand
Mohammad Rizwan ,Pakistan,3,3,0,85,59,28.33,105,80.95,0,1,0,2,1,West Indies
Mushfiqur Rahim ,Bangladesh,3,3,0,85,64,28.33,114,74.56,0,1,0,8,0,Pakistan
DN Wellalage ,Sri Lanka,5,5,1,85,42*,21.25,115,73.91,0,0,1,6,2,India
MD Gunathilaka ,Sri Lanka,3,3,0,84,39,28.00,98,85.71,0,0,0,12,1,Bangladesh
MJ Guptill ,New Zealand,4,4,0,84,57,21.00,115,73.04,0,1,1,8,1,West Indies
JP Inglis ,Australia,5,5,0,84,50,16.80,99,84.84,0,1,1,11,1,South Africa
PP Shaw ,India,3,3,0,84,40,28.00,82,102.43,0,0,0,12,2,New Zealand
Shubman Gill ,India,3,3,0,84,58,28.00,95,88.42,0,1,0,15,0,Pakistan
SO Hetmyer ,West Indies,4,4,0,83,39,20.75,97,85.56,0,0,1,8,1,England
Litton Das ,Bangladesh,4,4,0,83,76,20.75,85,97.64,0,1,2,7,3,England
GJ Maxwell ,Australia,5,5,0,83,41,16.60,95,87.36,0,0,0,6,4,New Zealand
MM Ali ,England,5,5,0,82,42,16.40,100,82.00,0,0,0,10,1,Australia
Anamul Haque ,Bangladesh,3,3,0,82,43,27.33,84,97.61,0,0,0,12,0,New Zealand
AJ Hosein ,West Indies,3,3,1,82,60,41.00,65,126.15,0,1,0,3,7,Pakistan
Ishan Kishan ,India,2,1,0,82,82,82.00,81,101.23,0,1,0,9,2,Pakistan
DJ Malan ,England,3,3,1,82,50,41.00,90,91.11,0,1,0,9,1,India
AC Agar ,Australia,5,4,1,81,28,27.00,87,93.10,0,0,0,5,1,India
SSJ Brooks ,West Indies,3,3,0,81,79,27.00,107,75.70,0,1,1,9,1,New Zealand
MD Gunathilaka ,Sri Lanka,3,3,0,81,55,27.00,97,83.50,0,1,0,9,0,Australia
HH Pandya ,India,8,6,1,81,36,16.20,107,75.70,0,0,1,8,1,Sri Lanka
Shaheen Shah Afridi ,Pakistan,8,6,2,81,25,20.25,107,75.70,0,0,1,7,2,England
HM Amla ,South Africa,1,1,1,80,80*,-,105,76.19,0,1,0,5,0,Sri Lanka
C de Grandhomme ,New Zealand,4,4,1,80,58*,26.66,48,166.66,0,1,0,9,3,India
KM Jadhav ,India,4,4,1,80,44,26.66,108,74.07,0,0,0,7,1,Australia
P Nissanka ,Sri Lanka,4,4,0,80,72,20.00,92,86.95,0,1,1,12,0,India
P Nissanka ,Sri Lanka,2,2,0,80,51,40.00,105,76.19,0,1,0,11,1,Pakistan
RR Pant ,India,3,3,0,80,36,26.66,73,109.58,0,0,0,7,3,Australia
MDKJ Perera ,Sri Lanka,2,2,0,80,51,40.00,52,153.84,0,1,0,13,2,New Zealand
Towhid Hridoy ,Bangladesh,7,5,0,80,33,16.00,92,86.95,0,0,0,5,1,New Zealand
PJ Cummins ,Australia,13,8,3,79,21*,15.80,73,108.21,0,0,2,7,2,India
SM Curran ,England,4,4,0,79,42,19.75,73,108.21,0,0,0,4,2,New Zealand
RD Gaikwad ,India,2,2,0,79,71,39.50,89,88.76,0,1,0,12,0,Australia
C Green ,Australia,3,3,1,79,40*,39.50,88,89.77,0,0,0,4,2,Pakistan
AJ Finch ,Australia,5,5,0,78,60,15.60,109,71.55,0,1,1,4,2,New Zealand
KR Mayers ,West Indies,5,5,0,78,40,15.60,151,51.65,0,0,1,10,1,Bangladesh
N Pooran ,West Indies,3,2,0,78,39,39.00,82,95.12,0,0,0,6,3,South Africa
Sabbir Rahman ,Bangladesh,3,3,0,78,60,26.00,92,84.78,0,1,0,9,0,Sri Lanka
JP Inglis ,Australia,4,3,0,77,45,25.66,81,95.06,0,0,0,5,3,India
EJG Morgan ,England,4,3,0,77,57,25.66,92,83.69,0,1,0,6,3,South Africa
JJ Roy ,England,2,2,0,77,60,38.50,81,95.06,0,1,0,11,0,New Zealand
Nasum Ahmed ,Bangladesh,3,3,1,76,44,38.00,74,102.70,0,0,0,10,2,India
AL Phehlukwayo ,South Africa,6,4,0,76,34,19.00,126,60.31,0,0,0,6,3,India
CR Woakes ,England,5,4,1,76,40,25.33,80,95.00,0,0,0,5,0,South Africa
AS Joseph ,West Indies,10,5,1,75,29,18.75,127,59.05,0,0,1,3,5,India
Litton Das ,Bangladesh,9,8,1,75,22,10.71,110,68.18,0,0,2,6,1,New Zealand
Abid Ali ,Pakistan,1,1,0,74,74,74.00,67,110.44,0,1,0,10,0,Sri Lanka
PJ Cummins ,Australia,3,3,2,74,37,74.00,44,168.18,0,0,0,3,5,New Zealand
BKG Mendis ,Sri Lanka,7,7,0,74,34,10.57,118,62.71,0,0,1,10,1,India
MK Pandey ,India,3,3,0,74,37,24.66,90,82.22,0,0,0,4,1,Sri Lanka
KA Pollard ,West Indies,4,3,1,74,74*,37.00,53,139.62,0,1,2,3,7,India
V Shankar ,India,3,3,0,74,32,24.66,66,112.12,0,0,0,5,3,Australia
Towhid Hridoy ,Bangladesh,1,1,0,74,74,74.00,79,93.67,0,1,0,5,2,Australia
MM Ali ,England,6,5,1,73,46*,18.25,67,108.95,0,0,2,5,4,Pakistan
MJ Guptill ,New Zealand,1,1,1,73,73*,-,51,143.13,0,1,0,8,2,Sri Lanka
AJ Hosein ,West Indies,5,5,2,73,34,24.33,97,75.25,0,0,1,5,1,India
Mehidy Hasan Miraz ,Bangladesh,5,4,2,73,38,36.50,84,86.90,0,0,0,3,4,South Africa
Mohammad Rizwan ,Pakistan,4,4,0,73,40,18.25,88,82.95,0,0,1,8,1,South Africa
MA Starc ,Australia,8,7,3,73,29,18.25,72,101.38,0,0,2,3,3,England
CR Woakes ,England,4,4,1,73,34,24.33,76,96.05,0,0,0,5,2,Bangladesh
R Ravindra ,New Zealand,7,6,0,72,45,12.00,76,94.73,0,0,2,13,1,Bangladesh
SE Rutherford ,West Indies,3,3,0,72,63,24.00,92,78.26,0,1,0,7,2,England
MP Stoinis ,Australia,5,5,0,72,22,14.40,73,98.63,0,0,0,12,1,South Africa
T Bavuma ,South Africa,3,3,0,70,37,23.33,118,59.32,0,0,0,5,1,Bangladesh
M Bhanuka ,Sri Lanka,3,3,0,70,36,23.33,103,67.96,0,0,0,10,0,India
RL Chase ,West Indies,3,2,0,70,51,35.00,91,76.92,0,1,0,4,1,Bangladesh
E Lewis ,West Indies,1,1,0,70,70,70.00,67,104.47,0,1,0,6,2,Bangladesh
JN Malan ,South Africa,1,1,0,70,70,70.00,81,86.41,0,1,0,9,0,Pakistan
PD Salt ,England,3,3,0,70,45,23.33,49,142.85,0,0,0,10,3,West Indies
Towhid Hridoy ,Bangladesh,2,2,0,70,54,35.00,116,60.34,0,1,0,5,2,India
SA Abbott ,Australia,3,1,0,69,69,69.00,63,109.52,0,1,0,1,4,West Indies
CJ Bowes ,New Zealand,2,2,0,69,51,34.50,77,89.61,0,1,0,10,0,Pakistan
DL Chahar ,India,2,1,1,69,69*,-,82,84.14,0,1,0,7,1,Sri Lanka
MNK Fernando ,Sri Lanka,2,2,0,69,50,34.50,90,76.66,0,1,0,10,0,India
Haris Sohail ,Pakistan,3,3,1,69,41,34.50,74,93.24,0,0,0,9,0,England
AS Joseph ,West Indies,3,2,1,69,49,69.00,37,186.48,0,0,0,6,4,New Zealand
JN Malan ,South Africa,3,3,0,69,39,23.00,106,65.09,0,0,0,11,0,Bangladesh
KA Pollard ,West Indies,3,3,0,69,56,23.00,86,80.23,0,1,0,5,4,Australia
LRPL Taylor ,New Zealand,1,1,0,69,69,69.00,95,72.63,0,1,0,7,0,West Indies
Abdullah Shafique ,Pakistan,1,1,0,68,68,68.00,69,98.55,0,1,0,9,2,Bangladesh
JC Buttler ,England,8,7,0,68,29,9.71,103,66.01,0,0,0,4,0,Australia
