Player,Team,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Opponent
M Jansen ,South Africa,7,7,43.2,1,320,10,5/39,32.00,7.38,26.0,0,1,Australia
Kuldeep Yadav ,India,7,7,46.5,2,210,10,4/18,21.00,4.48,28.1,1,0,South Africa
Mehidy Hasan Miraz ,Bangladesh,9,9,76.0,2,361,10,4/30,36.10,4.75,45.6,1,0,Sri Lanka
Mustafizur Rahman ,Bangladesh,6,6,50.0,3,266,10,5/59,26.60,5.32,30.0,0,1,India
Mustafizur Rahman ,Bangladesh,9,9,68.2,2,422,10,3/27,42.20,6.17,41.0,0,0,New Zealand
Mustafizur Rahman ,Bangladesh,6,6,46.0,1,234,10,3/16,23.40,5.08,27.6,0,0,Sri Lanka
L Ngidi ,South Africa,6,6,49.2,0,293,10,3/52,29.30,5.93,29.6,0,0,India
M Prasidh Krishna ,India,5,5,41.1,5,160,10,4/12,16.00,3.88,24.7,1,0,West Indies
AU Rashid ,England,5,5,44.0,0,219,10,4/45,21.90,4.97,26.4,1,0,Bangladesh
Shaheen Shah Afridi ,Pakistan,3,3,25.1,2,100,10,6/35,10.00,3.97,15.1,0,1,Bangladesh
Shaheen Shah Afridi ,Pakistan,5,5,47.3,2,293,10,3/45,29.30,6.16,28.5,0,0,South Africa
T Shamsi ,South Africa,5,5,41.4,0,198,10,5/49,19.80,4.75,25.0,0,1,Sri Lanka
Shakib Al Hasan ,Bangladesh,6,6,50.1,3,164,10,4/8,16.40,3.26,30.1,1,0,West Indies
MA Starc ,Australia,5,5,47.3,2,258,10,3/34,25.80,5.43,28.5,0,0,South Africa
Usama Mir ,Pakistan,6,6,58.0,0,307,10,4/43,30.70,5.29,34.8,1,0,New Zealand
DN Wellalage ,Sri Lanka,6,6,46.2,0,254,10,3/42,25.40,5.48,27.8,0,0,Australia
A Zampa ,Australia,7,7,56.5,3,270,10,2/14,27.00,4.75,34.1,0,0,West Indies
YS Chahal ,India,7,5,47.2,1,278,9,3/47,30.88,5.87,31.5,0,0,New Zealand
PVD Chameera ,Sri Lanka,4,4,34.1,3,153,9,5/16,17.00,4.47,22.7,0,1,Bangladesh
PJ Cummins ,Australia,5,5,47.4,1,292,9,3/45,32.44,6.12,31.7,0,0,South Africa
Ebadot Hossain ,Bangladesh,3,3,27.2,0,172,9,4/47,19.11,6.29,18.2,1,0,India
Haris Rauf ,Pakistan,4,4,32.0,0,211,9,4/65,23.44,6.59,21.3,1,0,England
Haris Rauf ,Pakistan,4,4,39.0,1,233,9,3/54,25.88,5.97,26.0,0,0,South Africa
Hasan Ali ,Pakistan,9,8,69.5,1,482,9,5/51,53.55,6.90,46.5,0,1,England
JR Hazlewood ,Australia,6,6,53.1,7,224,9,3/26,24.88,4.21,35.4,0,0,England
MJ Henry ,New Zealand,6,6,57.0,3,298,9,3/48,33.11,5.22,38.0,0,0,England
JO Holder ,West Indies,11,10,78.0,5,421,9,4/34,46.77,5.39,52.0,1,0,India
AS Joseph ,West Indies,5,5,33.1,0,197,9,3/39,21.88,5.93,22.1,0,0,Australia
Kuldeep Yadav ,India,4,3,27.0,1,92,9,5/25,10.22,3.40,18.0,0,1,Pakistan
S Mahmood ,England,3,3,28.0,3,123,9,4/42,13.66,4.39,18.6,1,0,Pakistan
Mohammed Siraj ,India,6,6,49.0,5,210,9,3/29,23.33,4.28,32.6,0,0,West Indies
Shaheen Shah Afridi ,Pakistan,8,7,63.0,1,454,9,4/82,50.44,7.20,42.0,1,0,England
T Shamsi ,South Africa,8,6,48.2,0,304,9,3/38,33.77,6.28,32.2,0,0,England
JC Archer ,England,3,3,27.4,3,101,8,3/29,12.62,3.65,20.7,0,0,Bangladesh
XC Bartlett ,Australia,2,2,16.1,1,38,8,4/17,4.75,2.35,12.1,2,0,West Indies
