Player,Team,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Opponent
K Rabada ,South Africa,3,3,26.0,1,150,5,2/46,30.00,5.76,31.2,0,0,England
AU Rashid ,England,5,5,45.0,0,287,5,2/35,57.40,6.37,54.0,0,0,India
AU Rashid ,England,6,6,40.5,0,285,5,2/54,57.00,6.97,49.0,0,0,Pakistan
RA Reifer ,West Indies,5,4,23.5,0,133,5,2/23,26.60,5.58,28.6,0,0,Bangladesh
KAJ Roach ,West Indies,7,6,44.0,0,265,5,3/36,53.00,6.02,52.8,0,0,India
Shadab Khan ,Pakistan,5,5,43.0,1,249,5,2/61,49.80,5.79,51.6,0,0,England
Shadab Khan ,Pakistan,4,4,35.5,0,236,5,2/76,47.20,6.58,43.0,0,0,Sri Lanka
T Shamsi ,South Africa,3,3,27.0,0,171,5,4/60,34.20,6.33,32.4,1,0,Pakistan
Shakib Al Hasan ,Bangladesh,5,5,48.0,2,230,5,2/24,46.00,4.79,57.6,0,0,South Africa
R Shepherd ,West Indies,3,3,24.0,0,154,5,2/50,30.80,6.41,28.8,0,0,England
Shoriful Islam ,Bangladesh,2,2,11.0,1,43,5,4/34,8.60,3.90,13.2,1,0,West Indies
K Sinclair ,West Indies,3,3,28.2,1,123,5,4/41,24.60,4.34,34.0,1,0,New Zealand
TG Southee ,New Zealand,4,4,30.0,0,235,5,2/65,47.00,7.83,36.0,0,0,England
MP Stoinis ,Australia,9,8,29.0,0,187,5,2/20,37.40,6.44,34.8,0,0,Pakistan
Taijul Islam ,Bangladesh,1,1,10.0,2,28,5,5/28,5.60,2.80,12.0,0,1,West Indies
Taskin Ahmed ,Bangladesh,3,3,25.0,1,130,5,3/66,26.00,5.20,30.0,0,0,England
RJW Topley ,England,4,4,27.0,1,127,5,3/27,25.40,4.70,32.4,0,0,New Zealand
RJW Topley ,England,5,5,33.5,0,261,5,3/88,52.20,7.71,40.6,0,0,South Africa
Umran Malik ,India,2,2,15.0,0,105,5,3/57,21.00,7.00,18.0,0,0,Sri Lanka
Usman Shinwari ,Pakistan,3,3,29.0,2,139,5,4/49,27.80,4.79,34.8,1,0,Australia
JDF Vandersay ,Sri Lanka,4,4,31.3,1,158,5,3/49,31.60,5.01,37.8,0,0,Australia
Washington Sundar ,India,3,3,23.0,0,113,5,2/15,22.60,4.91,27.6,0,0,South Africa
DN Wellalage ,Sri Lanka,5,4,22.0,1,124,5,5/40,24.80,5.63,26.4,0,1,India
DJ Willey ,England,4,4,36.0,1,206,5,2/44,41.20,5.72,43.2,0,0,Australia
DJ Willey ,England,3,3,17.5,1,94,5,3/34,18.80,5.27,21.4,0,0,New Zealand
MA Wood ,England,4,4,30.0,0,129,5,2/34,25.80,4.30,36.0,0,0,Bangladesh
SA Abbott ,Australia,2,2,15.0,7,32,4,2/1,8.00,2.13,22.5,0,0,New Zealand
KK Ahmed ,India,3,3,17.0,0,127,4,3/68,31.75,7.47,25.5,0,0,West Indies
FA Allen ,West Indies,6,5,36.0,0,198,4,2/40,49.50,5.50,54.0,0,0,India
KIC Asalanka ,Sri Lanka,9,3,12.1,1,45,4,4/18,11.25,3.69,18.2,1,0,India
JP Behrendorff ,Australia,3,3,25.0,1,143,4,3/63,35.75,5.72,37.5,0,0,Pakistan
TA Boult ,New Zealand,3,3,30.0,2,188,4,2/42,47.00,6.26,45.0,0,0,India
TA Boult ,New Zealand,2,2,19.0,3,81,4,3/37,20.25,4.26,28.5,0,0,Sri Lanka
MG Bracewell ,New Zealand,3,3,30.0,0,117,4,2/44,29.25,3.90,45.0,0,0,Pakistan
YS Chahal ,India,4,4,39.0,0,302,4,2/62,75.50,7.74,58.5,0,0,Australia
DL Chahar ,India,2,2,15.0,1,90,4,2/37,22.50,6.00,22.5,0,0,Sri Lanka
PVD Chameera ,Sri Lanka,3,3,18.0,1,123,4,2/16,30.75,6.83,27.0,0,0,South Africa
SS Cottrell ,West Indies,1,1,10.0,1,56,4,4/56,14.00,5.60,15.0,1,0,New Zealand
TK Curran ,England,2,2,20.0,0,78,4,4/35,19.50,3.90,30.0,1,0,Sri Lanka
DM de Silva ,Sri Lanka,8,6,32.0,0,180,4,2/49,45.00,5.62,48.0,0,0,India
DM de Silva ,Sri Lanka,7,7,37.0,1,184,4,3/41,46.00,4.97,55.5,0,0,South Africa
JA Duffy ,New Zealand,3,3,21.0,0,117,4,3/51,29.25,5.57,31.5,0,0,Bangladesh
LH Ferguson ,New Zealand,4,4,33.1,0,195,4,2/63,48.75,5.87,49.7,0,0,Pakistan
LH Ferguson ,New Zealand,3,3,28.0,0,194,4,3/59,48.50,6.92,42.0,0,0,West Indies
BC Fortuin ,South Africa,2,2,18.0,0,103,4,2/46,25.75,5.72,27.0,0,0,West Indies
L Gregory ,England,3,3,19.0,1,97,4,3/44,24.25,5.10,28.5,0,0,Pakistan
Haris Rauf ,Pakistan,2,2,15.0,1,107,4,4/77,26.75,7.13,22.5,1,0,West Indies
Hasan Ali ,Pakistan,1,1,10.0,0,71,4,4/71,17.75,7.10,15.0,1,0,Sri Lanka
Hasan Mahmud ,Bangladesh,5,5,33.2,2,209,4,2/57,52.25,6.27,50.0,0,0,New Zealand
Hasan Mahmud ,Bangladesh,2,2,15.0,1,82,4,3/28,20.50,5.46,22.5,0,0,West Indies
PW Hasaranga ,Sri Lanka,4,4,34.0,2,144,4,2/47,36.00,4.23,51.0,0,0,Bangladesh
PW Hasaranga ,Sri Lanka,3,3,28.0,4,147,4,2/32,36.75,5.25,42.0,0,0,South Africa
JR Hazlewood ,Australia,6,6,50.3,5,240,4,2/22,60.00,4.75,75.7,0,0,Sri Lanka
TM Head ,Australia,5,3,19.0,0,101,4,2/21,25.25,5.31,28.5,0,0,South Africa
BE Hendricks ,South Africa,3,2,18.0,0,105,4,3/59,26.25,5.83,27.0,0,0,England
Imran Tahir ,South Africa,3,3,25.0,1,88,4,2/19,22.00,3.52,37.5,0,0,Sri Lanka
RA Jadeja ,India,4,3,20.4,0,77,4,2/33,19.25,3.72,31.0,0,0,Sri Lanka
KA Jamieson ,New Zealand,5,4,33.0,4,123,4,2/32,30.75,3.72,49.5,0,0,Bangladesh
M Jansen ,South Africa,2,2,18.0,1,96,4,2/39,24.00,5.33,27.0,0,0,Bangladesh
AS Joseph ,West Indies,3,3,23.0,0,174,4,3/61,43.50,7.56,34.5,0,0,England
AS Joseph ,West Indies,2,2,20.0,1,88,4,2/33,22.00,4.40,30.0,0,0,Pakistan
Junaid Khan ,Pakistan,3,3,28.0,1,178,4,3/73,44.50,6.35,42.0,0,0,Australia
C Karunaratne ,Sri Lanka,3,2,13.5,0,69,4,4/43,17.25,4.98,20.7,1,0,New Zealand
B Kumar ,India,3,3,29.0,0,190,4,3/54,47.50,6.55,43.5,0,0,Sri Lanka
B Kumar ,India,3,3,17.0,2,90,4,4/31,22.50,5.29,25.5,1,0,West Indies
CBRLS Kumara ,Sri Lanka,2,2,19.2,1,151,4,2/64,37.75,7.81,29.0,0,0,India
CBRLS Kumara ,Sri Lanka,2,2,17.4,0,85,4,2/39,21.25,4.81,26.5,0,0,New Zealand
LS Livingstone ,England,5,4,22.4,0,121,4,3/16,30.25,5.33,34.0,0,0,New Zealand
LS Livingstone ,England,3,3,20.4,0,123,4,3/39,30.75,5.95,31.0,0,0,West Indies
SSB Magala ,South Africa,2,2,18.0,0,122,4,3/46,30.50,6.77,27.0,0,0,England
KA Maharaj ,South Africa,4,4,37.0,0,181,4,2/56,45.25,4.89,55.5,0,0,Bangladesh
KA Maharaj ,South Africa,5,4,26.0,1,149,4,1/27,37.25,5.73,39.0,0,0,England
KA Maharaj ,South Africa,1,1,9.0,0,46,4,4/46,11.50,5.11,13.5,1,0,New Zealand
Mahedi Hasan ,Bangladesh,1,1,8.0,0,71,4,4/71,17.75,8.87,12.0,1,0,England
SL Malinga ,Sri Lanka,1,1,10.0,1,43,4,4/43,10.75,4.30,15.0,1,0,England
AF Milne ,New Zealand,2,2,20.0,0,124,4,3/57,31.00,6.20,30.0,0,0,India
Mohammad Amir ,Pakistan,2,2,17.0,1,71,4,3/50,17.75,4.17,25.5,0,0,Sri Lanka
Mohammad Wasim ,Pakistan,2,2,11.2,1,55,4,3/34,13.75,4.85,17.0,0,0,West Indies
G Motie ,West Indies,3,3,21.0,0,96,4,3/28,24.00,4.57,31.5,0,0,Australia
G Motie ,West Indies,3,3,25.5,0,106,4,2/34,26.50,4.10,38.7,0,0,England
Mukesh Kumar ,India,3,3,15.0,2,69,4,3/30,17.25,4.60,22.5,0,0,West Indies
Nasum Ahmed ,Bangladesh,3,3,28.0,3,115,4,2/21,28.75,4.10,42.0,0,0,New Zealand
L Ngidi ,South Africa,4,4,23.0,4,112,4,1/16,28.00,4.86,34.5,0,0,Sri Lanka
C Overton ,England,3,3,25.2,2,126,4,2/23,31.50,4.97,38.0,0,0,Pakistan
M Pathirana ,Sri Lanka,2,2,17.0,0,155,4,3/65,38.75,9.11,25.5,0,0,Pakistan
NLTC Perera ,Sri Lanka,5,5,31.3,1,184,4,2/45,46.00,5.84,47.2,0,0,West Indies
AL Phehlukwayo ,South Africa,7,7,34.2,0,193,4,2/21,48.25,5.62,51.5,0,0,Sri Lanka
LE Plunkett ,England,2,2,18.0,0,70,4,3/42,17.50,3.88,27.0,0,0,New Zealand
LE Plunkett ,England,3,3,22.0,0,146,4,2/64,36.50,6.63,33.0,0,0,Pakistan
N Pooran ,West Indies,4,1,10.0,0,48,4,4/48,12.00,4.80,15.0,1,0,Pakistan
D Pretorius ,South Africa,4,3,16.0,0,104,4,4/36,26.00,6.50,24.0,1,0,England
R Ravindra ,New Zealand,4,3,27.3,0,193,4,3/65,48.25,7.01,41.2,0,0,Pakistan
KW Richardson ,Australia,2,2,19.1,0,116,4,2/43,29.00,6.05,28.7,0,0,India
KW Richardson ,Australia,3,3,25.4,0,160,4,2/62,40.00,6.23,38.5,0,0,Pakistan
NA Saini ,India,4,4,37.0,0,280,4,2/62,70.00,7.56,55.5,0,0,Australia
PADLR Sandakan ,Sri Lanka,2,2,20.0,0,109,4,3/54,27.25,5.45,30.0,0,0,Bangladesh
PADLR Sandakan ,Sri Lanka,6,6,49.1,3,275,4,3/57,68.75,5.59,73.7,0,0,West Indies
MJ Santner ,New Zealand,4,4,30.0,0,151,4,2/37,37.75,5.03,45.0,0,0,England
MJ Santner ,New Zealand,4,4,34.3,1,145,4,2/38,36.25,4.20,51.7,0,0,West Indies
Shadab Khan ,Pakistan,4,4,39.0,0,211,4,2/67,52.75,5.41,58.5,0,0,New Zealand
HB Shipley ,New Zealand,4,4,35.0,2,193,4,3/34,48.25,5.51,52.5,0,0,Pakistan
Shoriful Islam ,Bangladesh,4,4,28.0,0,189,4,2/47,47.25,6.75,42.0,0,0,South Africa
Soumya Sarkar ,Bangladesh,9,6,23.3,1,143,4,3/18,35.75,6.08,35.2,0,0,New Zealand
Soumya Sarkar ,Bangladesh,3,3,16.0,0,89,4,3/56,22.25,5.56,24.0,0,0,Sri Lanka
MP Stoinis ,Australia,5,5,31.0,1,189,4,2/20,47.25,6.09,46.5,0,0,South Africa
BA Stokes ,England,8,6,27.0,1,170,4,3/34,42.50,6.29,40.5,0,0,India
OP Stone ,England,2,2,20.0,1,135,4,4/85,33.75,6.75,30.0,1,0,Australia
SN Thakur ,India,5,5,30.0,2,186,4,2/35,46.50,6.20,45.0,0,0,South Africa
M Theekshana ,Sri Lanka,6,6,53.0,2,247,4,2/26,61.75,4.66,79.5,0,0,Australia
M Theekshana ,Sri Lanka,1,1,10.0,0,37,4,4/37,9.25,3.70,15.0,1,0,South Africa
M Theekshana ,Sri Lanka,1,1,10.0,0,34,4,4/34,8.50,3.40,15.0,1,0,West Indies
O Thomas ,West Indies,4,4,19.5,0,143,4,2/63,35.75,7.21,29.7,0,0,Australia
O Thomas ,West Indies,1,1,5.4,0,27,4,4/27,6.75,4.76,8.5,1,0,Pakistan
BM Tickner ,New Zealand,3,3,24.0,0,164,4,3/76,41.00,6.83,36.0,0,0,India
RJW Topley ,England,1,1,10.0,1,43,4,4/43,10.75,4.30,15.0,1,0,Bangladesh
I Udana ,Sri Lanka,3,3,29.0,1,171,4,2/49,42.75,5.89,43.5,0,0,Bangladesh
I Udana ,Sri Lanka,4,4,34.0,0,246,4,3/82,61.50,7.23,51.0,0,0,West Indies
Umran Malik ,India,2,2,18.0,2,101,4,2/43,25.25,5.61,27.0,0,0,Bangladesh
Umran Malik ,India,4,3,22.0,0,149,4,2/66,37.25,6.77,33.0,0,0,New Zealand
HR Walsh ,West Indies,4,4,26.0,0,171,4,2/57,42.75,6.57,39.0,0,0,India
Washington Sundar ,India,3,3,18.0,1,75,4,3/30,18.75,4.16,27.0,0,0,West Indies
DJ Willey ,England,4,4,29.0,4,138,4,3/45,34.50,4.75,43.5,0,0,India
CR Woakes ,England,4,4,32.0,0,171,4,2/49,42.75,5.34,48.0,0,0,Bangladesh
CR Woakes ,England,2,2,19.0,4,91,4,2/33,22.75,4.78,28.5,0,0,India
MA Wood ,England,3,3,24.0,1,138,4,3/34,34.50,5.75,36.0,0,0,New Zealand
MA Wood ,England,2,2,20.0,0,124,4,2/53,31.00,6.20,30.0,0,0,Pakistan
Yasir Shah ,Pakistan,5,5,50.0,1,283,4,2/57,70.75,5.66,75.0,0,0,Australia
Zahid Mahmood ,Pakistan,3,3,28.0,0,181,4,2/59,45.25,6.46,42.0,0,0,Australia
A Zampa ,Australia,1,1,8.0,1,47,4,4/47,11.75,5.87,12.0,1,0,Sri Lanka
Agha Salman ,Pakistan,9,9,53.0,0,309,3,2/42,103.00,5.83,106.0,0,0,New Zealand
MM Ali ,England,3,3,25.2,2,110,3,2/35,36.66,4.34,50.6,0,0,Bangladesh
JC Archer ,England,1,1,10.0,2,52,3,3/52,17.33,5.20,20.0,0,0,Sri Lanka
JC Archer ,England,1,1,9.0,1,30,3,3/30,10.00,3.33,18.0,0,0,West Indies
CR Brathwaite ,West Indies,1,1,10.0,0,67,3,3/67,22.33,6.70,20.0,0,0,Australia
CR Brathwaite ,West Indies,4,3,16.3,0,124,3,3/53,41.33,7.51,33.0,0,0,India
JJ Bumrah ,India,6,6,60.0,4,315,3,1/39,105.00,5.25,120.0,0,0,New Zealand
JJ Bumrah ,India,4,3,20.0,2,89,3,2/19,29.66,4.45,40.0,0,0,Pakistan
Y Cariah ,West Indies,3,3,18.0,0,118,3,1/25,39.33,6.55,36.0,0,0,India
Y Cariah ,West Indies,3,3,25.0,0,152,3,2/77,50.66,6.08,50.0,0,0,New Zealand
DL Chahar ,India,3,3,25.0,3,133,3,2/41,44.33,5.32,50.0,0,0,West Indies
RD Chahar ,India,1,1,10.0,0,54,3,3/54,18.00,5.40,20.0,0,0,Sri Lanka
PVD Chameera ,Sri Lanka,3,3,21.4,0,128,3,2/19,42.66,5.90,43.3,0,0,Australia
PVD Chameera ,Sri Lanka,3,2,17.0,0,96,3,3/50,32.00,5.64,34.0,0,0,England
PVD Chameera ,Sri Lanka,4,4,35.1,2,233,3,2/55,77.66,6.62,70.3,0,0,India
JA Clarkson ,New Zealand,3,3,12.0,0,73,3,2/24,24.33,6.08,24.0,0,0,Bangladesh
G Coetzee ,South Africa,1,1,10.0,0,62,3,3/62,20.66,6.20,20.0,0,0,Bangladesh
G Coetzee ,South Africa,1,1,4.0,0,35,3,3/35,11.66,8.75,8.0,0,0,England
G Coetzee ,South Africa,1,1,9.0,0,68,3,3/68,22.66,7.55,18.0,0,0,Sri Lanka
SM Curran ,England,3,3,25.0,1,156,3,3/35,52.00,6.24,50.0,0,0,Australia
SM Curran ,England,4,4,19.2,2,131,3,1/21,43.66,6.77,38.6,0,0,New Zealand
SM Curran ,England,3,3,20.5,0,153,3,3/33,51.00,7.34,41.6,0,0,West Indies
A Dananjaya ,Sri Lanka,2,2,20.0,0,83,3,2/39,27.66,4.15,40.0,0,0,Bangladesh
A Dananjaya ,Sri Lanka,1,1,10.0,0,44,3,3/44,14.66,4.40,20.0,0,0,India
C de Grandhomme ,New Zealand,4,4,23.0,1,118,3,2/54,39.33,5.13,46.0,0,0,India
DM de Silva ,Sri Lanka,4,3,11.0,0,52,3,3/32,17.33,4.72,22.0,0,0,England
JA Duffy ,New Zealand,1,1,10.0,0,100,3,3/100,33.33,10.00,20.0,0,0,India
NT Ellis ,Australia,3,3,23.0,0,140,3,1/36,46.66,6.08,46.0,0,0,Pakistan
LH Ferguson ,New Zealand,1,1,10.0,0,59,3,3/59,19.66,5.90,20.0,0,0,South Africa
MW Forde ,West Indies,1,1,8.0,0,29,3,3/29,9.66,3.62,16.0,0,0,England
ST Gabriel ,West Indies,3,3,21.3,0,166,3,2/30,55.33,7.72,43.0,0,0,Bangladesh
C Green ,Australia,7,7,39.4,0,270,3,2/103,90.00,6.80,79.3,0,0,India
Haris Rauf ,Pakistan,3,3,20.0,0,128,3,3/58,42.66,6.40,40.0,0,0,India
Hasan Mahmud ,Bangladesh,1,1,9.0,0,57,3,3/57,19.00,6.33,18.0,0,0,Sri Lanka
PW Hasaranga ,Sri Lanka,5,5,49.0,1,231,3,3/37,77.00,4.71,98.0,0,0,India
PW Hasaranga ,Sri Lanka,2,2,20.0,0,117,3,2/63,39.00,5.85,40.0,0,0,Pakistan
JO Holder ,West Indies,1,1,5.0,0,42,3,3/42,14.00,8.40,10.0,0,0,Pakistan
Iftikhar Ahmed ,Pakistan,4,4,25.0,2,124,3,3/50,41.33,4.96,50.0,0,0,Sri Lanka
Imad Wasim ,Pakistan,5,5,47.0,3,251,3,2/56,83.66,5.34,94.0,0,0,Australia
WG Jacks ,England,3,2,11.0,1,49,3,3/22,16.33,4.45,22.0,0,0,West Indies
RA Jadeja ,India,2,2,20.0,1,91,3,2/38,30.33,4.55,40.0,0,0,Bangladesh
RA Jadeja ,India,6,6,60.0,0,289,3,1/34,96.33,4.81,120.0,0,0,New Zealand
KA Jamieson ,New Zealand,2,2,20.0,1,95,3,2/42,31.66,4.75,40.0,0,0,India
M Jansen ,South Africa,1,1,8.0,1,31,3,3/31,10.33,3.87,16.0,0,0,New Zealand
M Jansen ,South Africa,1,1,9.0,1,43,3,3/43,14.33,4.77,18.0,0,0,Pakistan
M Jansen ,South Africa,2,2,19.0,1,123,3,2/46,41.00,6.47,38.0,0,0,West Indies
P Jayawickrama ,Sri Lanka,1,1,10.0,0,59,3,3/59,19.66,5.90,20.0,0,0,India
JNT Seales ,West Indies,6,6,44.0,1,268,3,1/21,89.33,6.09,88.0,0,0,India
AS Joseph ,West Indies,5,5,41.0,3,139,3,2/48,46.33,3.39,82.0,0,0,Bangladesh
C Karunaratne ,Sri Lanka,3,2,8.0,0,42,3,2/24,14.00,5.25,16.0,0,0,South Africa
Kuldeep Yadav ,India,4,4,37.0,0,248,3,2/24,82.66,6.70,74.0,0,0,England
B Kumar ,India,1,1,10.0,1,43,3,3/43,14.33,4.30,20.0,0,0,New Zealand
CBRLS Kumara ,Sri Lanka,3,3,22.0,0,113,3,2/26,37.66,5.13,44.0,0,0,Bangladesh
CBRLS Kumara ,Sri Lanka,1,1,7.0,0,35,3,3/35,11.66,5.00,14.0,0,0,England
GF Linde ,South Africa,2,2,15.0,1,72,3,2/32,24.00,4.80,30.0,0,0,Sri Lanka
BG Lister ,New Zealand,2,2,16.0,0,101,3,3/69,33.66,6.31,32.0,0,0,England
D Madushanka ,Sri Lanka,1,1,9.0,2,38,3,3/38,12.66,4.22,18.0,0,0,Australia
D Madushanka ,Sri Lanka,1,1,10.0,1,69,3,3/69,23.00,6.90,20.0,0,0,Bangladesh
KA Maharaj ,South Africa,2,2,19.0,1,101,3,3/45,33.66,5.31,38.0,0,0,Pakistan
SL Malinga ,Sri Lanka,1,1,9.4,2,38,3,3/38,12.66,3.93,19.3,0,0,Bangladesh
SL Malinga ,Sri Lanka,4,4,33.0,1,175,3,1/22,58.33,5.30,66.0,0,0,South Africa
SL Malinga ,Sri Lanka,1,1,10.0,0,55,3,3/55,18.33,5.50,20.0,0,0,West Indies
AK Markram ,South Africa,8,5,17.0,0,120,3,2/25,40.00,7.05,34.0,0,0,England
AK Markram ,South Africa,10,7,31.0,0,171,3,1/28,57.00,5.51,62.0,0,0,India
AK Markram ,South Africa,5,4,22.0,0,106,3,2/48,35.33,4.81,44.0,0,0,Pakistan
MR Marsh ,Australia,5,5,26.0,2,133,3,1/18,44.33,5.11,52.0,0,0,England
MR Marsh ,Australia,2,2,9.0,0,47,3,3/29,15.66,5.22,18.0,0,0,New Zealand
GJ Maxwell ,Australia,7,7,47.0,0,273,3,1/21,91.00,5.80,94.0,0,0,Pakistan
CE McConchie ,New Zealand,3,2,7.0,1,21,3,2/18,7.00,3.00,14.0,0,0,Bangladesh
Mehidy Hasan Miraz ,Bangladesh,8,8,52.0,2,276,3,2/47,92.00,5.30,104.0,0,0,New Zealand
Mohammad Amir ,Pakistan,1,1,10.0,1,47,3,3/47,15.66,4.70,20.0,0,0,India
Mohammad Amir ,Pakistan,1,1,6.0,0,26,3,3/26,8.66,4.33,12.0,0,0,West Indies
Mohammad Hasnain ,Pakistan,2,2,18.0,0,147,3,2/80,49.00,8.16,36.0,0,0,England
Mohammad Nawaz ,3) ,2,2,13.2,0,74,3,3/34,24.66,5.55,26.6,0,0,South Africa
Mohammad Saifuddin ,Bangladesh,1,1,9.0,0,77,3,3/77,25.66,8.55,18.0,0,0,Pakistan
Mohammad Wasim ,1) ,1,1,8.1,1,31,3,3/31,10.33,3.79,16.3,0,0,Bangladesh
Mohammed Shami ,India,2,2,17.0,1,100,3,2/32,33.33,5.88,34.0,0,0,Bangladesh
CH Morris ,South Africa,1,1,10.0,0,49,3,3/49,16.33,4.90,20.0,0,0,New Zealand
CH Morris ,South Africa,1,1,9.3,0,46,3,3/46,15.33,4.84,19.0,0,0,Sri Lanka
Mustafizur Rahman ,Bangladesh,5,5,39.0,0,229,3,3/67,76.33,5.87,78.0,0,0,South Africa
Naseem Shah ,Pakistan,1,1,5.4,0,34,3,3/34,11.33,6.00,11.3,0,0,Bangladesh
Naseem Shah ,Pakistan,2,2,18.1,1,89,3,3/36,29.66,4.89,36.3,0,0,India
JDS Neesham ,New Zealand,6,6,36.0,0,224,3,2/28,74.66,6.22,72.0,0,0,Australia
JDS Neesham ,New Zealand,4,4,33.0,0,203,3,1/49,67.66,6.15,66.0,0,0,India
AR Nurse ,West Indies,3,3,20.0,0,134,3,3/53,44.66,6.70,40.0,0,0,Bangladesh
HH Pandya ,India,2,2,10.3,0,68,3,3/60,22.66,6.47,21.0,0,0,Bangladesh
AR Patel ,India,3,3,21.0,0,109,3,2/22,36.33,5.19,42.0,0,0,Bangladesh
AL Phehlukwayo ,South Africa,2,2,20.0,2,115,3,2/52,38.33,5.75,40.0,0,0,Bangladesh
GD Phillips ,New Zealand,2,1,10.0,0,37,3,3/37,12.33,3.70,20.0,0,0,Australia
GD Phillips ,New Zealand,5,5,20.0,0,124,3,2/17,41.33,6.20,40.0,0,0,England
LE Plunkett ,England,1,1,10.0,0,55,3,3/55,18.33,5.50,20.0,0,0,India
M Prasidh Krishna ,India,2,2,11.0,0,101,3,2/56,33.66,9.18,22.0,0,0,Australia
M Prasidh Krishna ,India,1,1,9.5,0,59,3,3/59,19.66,6.00,19.6,0,0,South Africa
D Pretorius ,South Africa,3,3,16.0,2,58,3,3/25,19.33,3.62,32.0,0,0,Sri Lanka
CAK Rajitha ,Sri Lanka,2,2,16.3,0,82,3,2/38,27.33,4.96,33.0,0,0,New Zealand
CAK Rajitha ,Sri Lanka,3,3,23.0,1,191,3,1/32,63.66,8.30,46.0,0,0,South Africa
AU Rashid ,England,5,5,38.4,0,214,3,2/45,71.33,5.53,77.3,0,0,Sri Lanka
JA Richardson ,Australia,2,2,13.0,3,80,3,2/16,26.66,6.15,26.0,0,0,Pakistan
JA Richardson ,Australia,2,2,17.0,0,103,3,2/39,34.33,6.05,34.0,0,0,Sri Lanka
KW Richardson ,Australia,1,1,9.0,1,47,3,3/47,15.66,5.22,18.0,0,0,Sri Lanka
Rubel Hossain ,Bangladesh,1,1,10.0,1,70,3,3/70,23.33,7.00,20.0,0,0,New Zealand
Shahbaz Ahmed ,India,2,2,17.0,0,86,3,2/32,28.66,5.05,34.0,0,0,South Africa
MJ Santner ,New Zealand,2,2,12.0,2,27,3,2/22,9.00,2.25,24.0,0,0,Sri Lanka
Shadab Khan ,Pakistan,4,3,27.0,1,159,3,3/50,53.00,5.88,54.0,0,0,South Africa
Shaheen Shah Afridi ,Pakistan,2,2,18.0,0,118,3,2/52,39.33,6.55,36.0,0,0,Sri Lanka
Shaheen Shah Afridi ,Pakistan,2,2,14.0,2,72,3,2/55,24.00,5.14,28.0,0,0,West Indies
MD Shanaka ,Sri Lanka,8,6,22.0,0,114,3,1/10,38.00,5.18,44.0,0,0,India
Shakib Al Hasan ,Bangladesh,2,2,20.0,0,101,3,2/47,33.66,5.05,40.0,0,0,New Zealand
HB Shipley ,New Zealand,2,2,14.0,0,103,3,2/74,34.33,7.35,28.0,0,0,India
Shoriful Islam ,Bangladesh,1,1,10.0,0,75,3,3/75,25.00,7.50,20.0,0,0,England
OF Smith ,West Indies,2,2,14.0,0,65,3,2/29,21.66,4.64,28.0,0,0,India
IS Sodhi ,New Zealand,2,2,14.0,0,86,3,3/51,28.66,6.14,28.0,0,0,Australia
Soumya Sarkar ,Bangladesh,1,1,8.0,0,58,3,3/58,19.33,7.25,16.0,0,0,Australia
MA Starc ,Australia,2,2,17.0,1,108,3,2/43,36.00,6.35,34.0,0,0,Pakistan
MP Stoinis ,Australia,2,2,13.0,0,99,3,2/54,33.00,7.61,26.0,0,0,Bangladesh
MP Stoinis ,Australia,9,7,25.0,0,163,3,1/23,54.33,6.52,50.0,0,0,England
BA Stokes ,England,1,1,6.0,1,23,3,3/23,7.66,3.83,12.0,0,0,Bangladesh
OP Stone ,England,2,2,17.0,1,85,3,2/48,28.33,5.00,34.0,0,0,South Africa
Khaled Ahmed ,Bangladesh,2,2,13.2,1,72,3,3/60,24.00,5.40,26.6,0,0,New Zealand
Tanzim Hasan Sakib ,Bangladesh,3,3,18.4,2,90,3,3/14,30.00,4.82,37.3,0,0,New Zealand
Tanzim Hasan Sakib ,Bangladesh,1,1,10.0,0,80,3,3/80,26.66,8.00,20.0,0,0,Sri Lanka
SN Thakur ,India,5,5,31.0,1,219,3,3/51,73.00,7.06,62.0,0,0,Australia
Wahab Riaz ,Pakistan,1,1,10.0,0,82,3,3/82,27.33,8.20,20.0,0,0,England
Wahab Riaz ,Pakistan,1,1,10.0,0,46,3,3/46,15.33,4.60,20.0,0,0,South Africa
MA Wood ,England,4,4,29.0,1,117,3,3/40,39.00,4.03,58.0,0,0,Sri Lanka
MA Wood ,England,1,1,6.4,0,18,3,3/18,6.00,2.70,13.3,0,0,West Indies
A Zampa ,Australia,2,2,19.0,0,100,3,2/32,33.33,5.26,38.0,0,0,Bangladesh
SA Abbott ,Australia,1,1,10.0,0,61,2,2/61,30.50,6.10,30.0,0,0,Bangladesh
SA Abbott ,Australia,1,1,8.0,0,45,2,2/45,22.50,5.62,24.0,0,0,England
AC Agar ,Australia,1,1,10.0,0,49,2,2/49,24.50,4.90,30.0,0,0,Sri Lanka
AC Agar ,Australia,1,1,10.0,1,31,2,2/31,15.50,3.10,30.0,0,0,West Indies
MM Ali ,England,5,4,24.0,0,153,2,1/24,76.50,6.37,72.0,0,0,Australia
MM Ali ,England,7,7,42.0,0,223,2,1/30,111.50,5.30,126.0,0,0,India
FA Allen ,West Indies,6,5,39.0,0,205,2,1/38,102.50,5.25,117.0,0,0,Sri Lanka
JC Archer ,England,2,2,17.0,1,59,2,1/17,29.50,3.47,51.0,0,0,New Zealand
