Player,Team,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Opponent
MA Starc ,Australia,7,7,28.0,0,197,10,3/26,19.70,7.03,16.8,0,0,Sri Lanka
A Zampa ,Australia,5,5,20.0,0,119,10,5/19,11.90,5.95,12.0,0,1,Bangladesh
MM Ali ,England,10,10,25.0,1,184,9,3/24,20.44,7.36,16.6,0,0,West Indies
Arshdeep Singh ,India,5,5,16.0,0,140,9,4/37,15.55,8.75,10.6,1,0,New Zealand
YS Chahal ,India,8,8,27.0,0,210,9,3/34,23.33,7.77,18.0,0,0,Sri Lanka
YS Chahal ,India,9,9,33.0,0,300,9,2/19,33.33,9.09,22.0,0,0,West Indies
DL Chahar ,India,7,7,23.2,1,198,9,3/4,22.00,8.48,15.5,0,0,West Indies
SS Cottrell ,West Indies,8,8,31.0,1,217,9,2/20,24.11,7.00,20.6,0,0,India
SM Curran ,England,9,9,31.0,0,252,9,2/22,28.00,8.12,20.6,0,0,New Zealand
Hasan Ali ,Pakistan,5,5,18.0,0,160,9,3/40,17.77,8.88,12.0,0,0,South Africa
AJ Hosein ,West Indies,11,11,44.0,0,288,9,2/24,32.00,6.54,29.3,0,0,India
Imad Wasim ,Pakistan,8,8,23.0,0,146,9,3/19,16.22,6.34,15.3,0,0,New Zealand
CJ Jordan ,England,10,10,39.0,0,380,9,2/28,42.22,9.74,26.0,0,0,South Africa
AS Joseph ,West Indies,8,8,31.0,0,276,9,2/25,30.66,8.90,20.6,0,0,India
OC McCoy ,West Indies,5,5,20.0,0,141,9,4/22,15.66,7.05,13.3,1,0,South Africa
AF Milne ,New Zealand,7,6,18.0,0,155,9,3/24,17.22,8.61,12.0,0,0,Bangladesh
HV Patel ,India,8,7,24.1,0,208,9,4/25,23.11,8.60,16.1,1,0,South Africa
Ravi Bishnoi ,India,5,5,20.0,0,164,9,3/32,18.22,8.20,13.3,0,0,Australia
AD Russell ,West Indies,9,9,25.0,0,270,9,3/42,30.00,10.80,16.6,0,0,Australia
MJ Santner ,New Zealand,14,14,52.0,1,362,9,3/27,40.22,6.96,34.6,0,0,India
T Shamsi ,South Africa,6,6,22.0,0,120,9,3/17,13.33,5.45,14.6,0,0,Sri Lanka
TG Southee ,New Zealand,8,8,29.0,0,265,9,3/6,29.44,9.13,19.3,0,0,Australia
RJW Topley ,England,7,7,27.3,0,198,9,3/37,22.00,7.20,18.3,0,0,West Indies
