Player,Team,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Opponent
T Shamsi ,South Africa,9,9,27.4,0,227,5,1/18,45.40,8.20,33.2,0,0,India
TG Southee ,New Zealand,4,4,16.0,1,66,5,2/18,13.20,4.12,19.2,0,0,Sri Lanka
MA Starc ,Australia,3,3,11.0,0,82,5,2/21,16.40,7.45,13.2,0,0,Bangladesh
MP Stoinis ,Australia,4,2,7.0,0,57,5,3/18,11.40,8.14,8.4,0,0,South Africa
MP Stoinis ,Australia,3,2,7.0,0,56,5,3/36,11.20,8.00,8.4,0,0,West Indies
MJ Swepson ,Australia,3,3,10.0,0,69,5,3/23,13.80,6.90,12.0,0,0,India
SN Thakur ,India,3,2,7.0,0,42,5,3/23,8.40,6.00,8.4,0,0,Sri Lanka
RJW Topley ,England,4,4,16.0,0,124,5,2/37,24.80,7.75,19.2,0,0,Pakistan
AJ Tye ,Australia,3,3,10.0,0,67,5,3/18,13.40,6.70,12.0,0,0,Bangladesh
I Udana ,Sri Lanka,2,2,6.4,0,49,5,3/11,9.80,7.35,8.0,0,0,Pakistan
Usman Qadir ,Pakistan,5,4,16.0,0,160,5,2/36,32.00,10.00,19.2,0,0,England
Washington Sundar ,India,6,5,14.0,0,107,5,2/22,21.40,7.64,16.8,0,0,New Zealand
CR Woakes ,England,3,3,8.0,0,48,5,3/4,9.60,6.00,9.6,0,0,Australia
CR Woakes ,England,5,5,13.2,0,114,5,1/12,22.80,8.55,16.0,0,0,West Indies
L Wood ,England,3,3,10.0,0,101,5,3/37,20.20,10.10,12.0,0,0,New Zealand
MA Wood ,England,4,4,16.0,1,129,5,3/31,25.80,8.06,19.2,0,0,India
AC Agar ,Australia,3,3,11.0,0,71,4,2/23,17.75,6.45,16.5,0,0,Pakistan
MM Ali ,England,4,4,12.0,0,82,4,2/18,20.50,6.83,18.0,0,0,Bangladesh
FA Allen ,West Indies,5,5,18.0,0,132,4,2/24,33.00,7.33,27.0,0,0,Australia
FA Allen ,West Indies,5,4,11.0,0,52,4,2/24,13.00,4.72,16.5,0,0,Sri Lanka
Aminul Islam ,Bangladesh,3,3,10.0,0,80,4,2/22,20.00,8.00,15.0,0,0,India
JC Archer ,England,3,3,11.0,0,73,4,3/13,18.25,6.63,16.5,0,0,Bangladesh
Arshdeep Singh ,India,4,4,16.0,0,171,4,2/40,42.75,10.68,24.0,0,0,Australia
TD Astle ,New Zealand,1,1,2.0,0,13,4,4/13,3.25,6.50,3.0,1,0,Bangladesh
Avesh Khan ,India,5,4,15.0,0,105,4,4/18,26.25,7.00,22.5,1,0,South Africa
HK Bennett ,New Zealand,4,4,14.0,0,100,4,2/31,25.00,7.14,21.0,0,0,Bangladesh
TA Boult ,New Zealand,6,6,23.4,1,188,4,2/33,47.00,7.94,35.5,0,0,Pakistan
TA Boult ,New Zealand,1,1,4.0,0,13,4,4/13,3.25,3.25,6.0,1,0,Sri Lanka
MG Bracewell ,New Zealand,2,2,8.0,0,53,4,2/14,13.25,6.62,12.0,0,0,Bangladesh
MG Bracewell ,New Zealand,3,3,9.0,0,52,4,2/31,13.00,5.77,13.5,0,0,India
MG Bracewell ,New Zealand,3,3,9.0,0,31,4,2/11,7.75,3.44,13.5,0,0,Pakistan
BA Carse ,England,3,3,8.0,0,66,4,3/23,16.50,8.25,12.0,0,0,New Zealand
YS Chahal ,India,3,3,12.0,0,95,4,2/28,23.75,7.91,18.0,0,0,Bangladesh
RD Chahar ,India,2,2,8.0,0,42,4,3/15,10.50,5.25,12.0,0,0,Sri Lanka
TK Curran ,England,4,4,13.0,1,110,4,2/29,27.50,8.46,19.5,0,0,New Zealand
A Dananjaya ,Sri Lanka,3,3,12.0,0,128,4,3/62,32.00,10.66,18.0,0,0,West Indies
JA Duffy ,New Zealand,1,1,4.0,0,33,4,4/33,8.25,8.25,6.0,1,0,Pakistan
NT Ellis ,Australia,1,1,4.0,0,28,4,4/28,7.00,7.00,6.0,1,0,Pakistan
RJ Gleeson ,England,2,2,8.0,1,46,4,3/15,11.50,5.75,12.0,0,0,India
RJ Gleeson ,England,2,2,7.0,0,89,4,3/51,22.25,12.71,10.5,0,0,South Africa
Haris Rauf ,Pakistan,4,4,16.0,0,134,4,2/36,33.50,8.37,24.0,0,0,India
JO Holder ,West Indies,6,6,20.0,0,211,4,2/42,52.75,10.55,30.0,0,0,Australia
JO Holder ,West Indies,4,1,4.0,0,26,4,4/26,6.50,6.50,6.0,1,0,Pakistan
JO Holder ,West Indies,5,5,17.0,0,163,4,1/26,40.75,9.58,25.5,0,0,South Africa
RA Jadeja ,India,4,4,12.0,0,82,4,2/18,20.50,6.83,18.0,0,0,New Zealand
C Karunaratne ,Sri Lanka,10,9,27.0,0,197,4,2/22,49.25,7.29,40.5,0,0,Australia
Kuldeep Yadav ,India,5,4,14.0,0,106,4,2/30,26.50,7.57,21.0,0,0,Sri Lanka
B Kumar ,India,5,5,17.0,0,122,4,2/24,30.50,7.17,25.5,0,0,New Zealand
CBRLS Kumara ,Sri Lanka,2,2,6.5,0,75,4,3/38,18.75,10.97,10.2,0,0,New Zealand
LS Livingstone ,England,9,5,12.0,0,125,4,2/17,31.25,10.41,18.0,0,0,West Indies
OC McCoy ,West Indies,2,2,8.0,0,79,4,3/40,19.75,9.87,12.0,0,0,New Zealand
OC McCoy ,West Indies,3,3,12.0,0,88,4,2/25,22.00,7.33,18.0,0,0,Sri Lanka
Mahedi Hasan ,Bangladesh,6,5,17.0,0,100,4,2/17,25.00,5.88,25.5,0,0,Australia
Mahedi Hasan ,Bangladesh,4,3,12.0,0,79,4,2/27,19.75,6.58,18.0,0,0,West Indies
S Mahmood ,England,6,5,19.0,0,187,4,3/33,46.75,9.84,28.5,0,0,Pakistan
AK Markram ,South Africa,6,3,8.0,1,33,4,3/21,8.25,4.12,12.0,0,0,Sri Lanka
GJ Maxwell ,Australia,12,8,14.0,0,111,4,2/18,27.75,7.92,21.0,0,0,Sri Lanka
Mehidy Hasan Miraz ,Bangladesh,2,2,6.0,0,30,4,4/12,7.50,5.00,9.0,1,0,England
RP Meredith ,Australia,3,3,11.0,0,83,4,2/24,20.75,7.54,16.5,0,0,New Zealand
RP Meredith ,Australia,2,2,7.5,0,105,4,3/48,26.25,13.40,11.7,0,0,West Indies
AF Milne ,New Zealand,4,4,14.0,0,143,4,2/40,35.75,10.21,21.0,0,0,Australia
Mukesh Kumar ,India,4,4,16.0,0,146,4,3/32,36.50,9.12,24.0,0,0,Australia
Mustafizur Rahman ,Bangladesh,6,6,21.1,0,176,4,1/12,44.00,8.31,31.7,0,0,Pakistan
Naseem Shah ,Pakistan,3,3,12.0,0,95,4,2/27,23.75,7.91,18.0,0,0,India
A Nortje ,South Africa,3,3,12.0,0,91,4,2/21,22.75,7.58,18.0,0,0,Australia
A Nortje ,South Africa,1,1,4.0,0,41,4,4/41,10.25,10.25,6.0,1,0,Pakistan
A Nortje ,South Africa,3,3,10.0,0,64,4,2/27,16.00,6.40,15.0,0,0,Sri Lanka
AR Patel ,India,3,3,11.0,0,66,4,3/9,16.50,6.00,16.5,0,0,New Zealand
HV Patel ,India,3,3,11.0,0,93,4,2/35,23.25,8.45,16.5,0,0,England
HV Patel ,India,4,4,14.0,0,132,4,2/41,33.00,9.42,21.0,0,0,Sri Lanka
KMA Paul ,West Indies,5,5,13.2,0,140,4,2/23,35.00,10.50,20.0,0,0,India
AL Phehlukwayo ,South Africa,7,5,13.4,0,133,4,2/33,33.25,9.73,20.5,0,0,Pakistan
KA Pollard ,West Indies,6,6,16.2,0,118,4,2/31,29.50,7.22,24.5,0,0,England
M Prasidh Krishna ,India,3,3,12.0,0,159,4,3/41,39.75,13.25,18.0,0,0,Australia
D Pretorius ,South Africa,4,3,10.0,0,87,4,2/30,21.75,8.70,15.0,0,0,England
K Rabada ,South Africa,2,2,7.0,0,44,4,3/20,11.00,6.28,10.5,0,0,Bangladesh
JA Richardson ,Australia,5,5,16.0,0,139,4,2/31,34.75,8.68,24.0,0,0,New Zealand
KW Richardson ,Australia,4,4,13.0,0,102,4,2/13,25.50,7.84,19.5,0,0,England
AD Russell ,West Indies,6,6,17.2,0,170,4,2/30,42.50,9.80,26.0,0,0,South Africa
BV Sears ,New Zealand,5,4,12.0,0,96,4,2/28,24.00,8.00,18.0,0,0,Bangladesh
BV Sears ,New Zealand,2,2,8.0,0,70,4,2/28,17.50,8.75,12.0,0,0,Pakistan
Shadab Khan ,Pakistan,4,2,8.0,0,51,4,4/26,12.75,6.37,12.0,1,0,Australia
Shafiul Islam ,Bangladesh,3,3,10.0,1,91,4,2/32,22.75,9.10,15.0,0,0,India
Shakib Al Hasan ,Bangladesh,6,6,23.0,0,151,4,2/10,37.75,6.56,34.5,0,0,New Zealand
R Shepherd ,West Indies,3,3,12.0,0,117,4,2/31,29.25,9.75,18.0,0,0,Australia
R Shepherd ,West Indies,6,4,13.5,0,163,4,2/43,40.75,11.78,20.7,0,0,Pakistan
Shivam Mavi ,India,3,3,9.0,0,81,4,4/22,20.25,9.00,13.5,1,0,Sri Lanka
Shoriful Islam ,Bangladesh,4,3,9.0,0,73,4,2/20,18.25,8.11,13.5,0,0,West Indies
OF Smith ,West Indies,3,3,10.0,0,114,4,2/24,28.50,11.40,15.0,0,0,Pakistan
IS Sodhi ,New Zealand,6,6,21.2,0,158,4,2/21,39.50,7.40,32.0,0,0,Sri Lanka
IS Sodhi ,New Zealand,5,4,16.0,0,132,4,1/26,33.00,8.25,24.0,0,0,West Indies
MP Stoinis ,Australia,7,2,7.0,0,70,4,3/34,17.50,10.00,10.5,0,0,England
Taskin Ahmed ,Bangladesh,3,3,12.0,0,88,4,2/26,22.00,7.33,18.0,0,0,England
Taskin Ahmed ,Bangladesh,6,6,22.1,0,152,4,2/25,38.00,6.85,33.2,0,0,Pakistan
Taskin Ahmed ,Bangladesh,3,3,12.0,0,102,4,2/24,25.50,8.50,18.0,0,0,Sri Lanka
O Thomas ,West Indies,3,3,12.0,0,85,4,2/27,21.25,7.08,18.0,0,0,India
RJW Topley ,England,2,2,8.0,0,56,4,3/22,14.00,7.00,12.0,0,0,India
HR Walsh ,West Indies,3,3,11.0,0,72,4,2/24,18.00,6.54,16.5,0,0,Bangladesh
HR Walsh ,West Indies,5,5,18.0,0,148,4,2/28,37.00,8.22,27.0,0,0,India
Washington Sundar ,India,5,5,15.3,0,138,4,2/29,34.50,8.90,23.2,0,0,England
Washington Sundar ,India,6,6,16.0,1,118,4,1/12,29.50,7.37,24.0,0,0,West Indies
LB Williams ,South Africa,3,3,8.0,0,85,4,3/44,21.25,10.62,12.0,0,0,Australia
CR Woakes ,England,2,2,8.0,1,69,4,2/33,17.25,8.62,12.0,0,0,New Zealand
CR Woakes ,England,3,3,11.0,0,82,4,3/26,20.50,7.45,16.5,0,0,Pakistan
MA Wood ,England,4,4,14.0,0,165,4,2/39,41.25,11.78,21.0,0,0,South Africa
Zaman Khan ,Pakistan,6,6,18.0,0,140,4,1/4,35.00,7.77,27.0,0,0,New Zealand
SA Abbott ,Australia,2,2,8.0,0,42,3,2/14,14.00,5.25,16.0,0,0,Pakistan
AC Agar ,Australia,5,5,20.0,0,112,3,1/17,37.33,5.60,40.0,0,0,Bangladesh
MM Ali ,England,4,3,6.0,0,80,3,2/26,26.66,13.33,12.0,0,0,India
MM Ali ,England,3,3,4.5,0,23,3,2/15,7.66,4.75,9.6,0,0,Sri Lanka
Aminul Islam ,Bangladesh,5,5,14.2,0,106,3,1/26,35.33,7.39,28.6,0,0,Pakistan
JC Archer ,England,3,3,11.0,0,97,3,2/33,32.33,8.81,22.0,0,0,Australia
Arshad Iqbal ,Pakistan,1,1,2.0,0,14,3,3/14,4.66,7.00,4.0,0,0,Bangladesh
Arshdeep Singh ,India,2,2,7.0,0,48,3,2/38,16.00,6.85,14.0,0,0,Bangladesh
Arshdeep Singh ,India,3,3,8.3,0,97,3,3/20,32.33,11.41,17.0,0,0,Sri Lanka
R Ashwin ,India,2,2,8.0,0,42,3,2/23,14.00,5.25,16.0,0,0,New Zealand
R Ashwin ,India,3,3,12.0,0,80,3,2/22,26.66,6.66,24.0,0,0,West Indies
TD Astle ,New Zealand,1,1,4.0,0,28,3,3/28,9.33,7.00,8.0,0,0,Sri Lanka
Avesh Khan ,India,5,5,15.2,0,157,3,2/17,52.33,10.23,30.6,0,0,West Indies
JP Behrendorff ,Australia,5,5,17.0,0,194,3,1/31,64.66,11.41,34.0,0,0,West Indies
MG Bracewell ,New Zealand,2,2,6.0,1,29,3,3/15,9.66,4.83,12.0,0,0,West Indies
PR Brown ,England,4,4,13.0,0,128,3,1/29,42.66,9.84,26.0,0,0,New Zealand
JJ Bumrah ,India,5,4,13.0,1,80,3,1/5,26.66,6.15,26.0,0,0,Sri Lanka
DL Chahar ,India,4,4,16.0,0,155,3,2/44,51.66,9.68,32.0,0,0,Australia
DL Chahar ,India,3,3,10.2,0,110,3,1/26,36.66,10.64,20.6,0,0,New Zealand
PVD Chameera ,Sri Lanka,4,4,11.0,0,84,3,2/27,28.00,7.63,22.0,0,0,South Africa
G Coetzee ,South Africa,3,3,9.5,1,108,3,2/36,36.00,10.98,19.6,0,0,Australia
G Coetzee ,South Africa,1,1,3.3,0,32,3,3/32,10.66,9.14,7.0,0,0,India
PJ Cummins ,Australia,5,5,14.0,0,114,3,1/23,38.00,8.14,28.0,0,0,England
SM Curran ,England,6,6,20.0,0,190,3,3/28,63.33,9.50,40.0,0,0,South Africa
DC Drakes ,West Indies,4,4,14.0,0,125,3,1/24,41.66,8.92,28.0,0,0,India
S Dube ,India,4,4,7.3,0,60,3,3/30,20.00,8.00,15.0,0,0,Bangladesh
Ebadot Hossain ,Bangladesh,1,1,4.0,0,51,3,3/51,17.00,12.75,8.0,0,0,Sri Lanka
NT Ellis ,Australia,1,1,4.0,0,20,3,3/20,6.66,5.00,8.0,0,0,England
NT Ellis ,Australia,3,3,10.0,1,86,3,3/25,28.66,8.60,20.0,0,0,South Africa
LH Ferguson ,New Zealand,2,2,6.0,0,38,3,2/25,12.66,6.33,12.0,0,0,Bangladesh
B Fernando ,Sri Lanka,3,3,10.0,0,90,3,2/41,30.00,9.00,20.0,0,0,Bangladesh
BC Fortuin ,South Africa,2,2,7.0,0,51,3,2/19,17.00,7.28,14.0,0,0,India
BC Fortuin ,South Africa,3,3,10.0,0,81,3,1/25,27.00,8.10,20.0,0,0,Pakistan
AM Hardie ,Australia,4,3,11.0,1,105,3,1/20,35.00,9.54,22.0,0,0,India
Haris Rauf ,Pakistan,4,2,7.0,0,61,3,2/40,20.33,8.71,14.0,0,0,West Indies
Hasan Ali ,Pakistan,1,1,4.0,0,22,3,3/22,7.33,5.50,8.0,0,0,Bangladesh
Hasan Ali ,Pakistan,4,3,7.0,0,47,3,2/11,15.66,6.71,14.0,0,0,West Indies
Hasan Mahmud ,Bangladesh,3,3,10.0,0,65,3,2/26,21.66,6.50,20.0,0,0,England
Hasan Mahmud ,Bangladesh,1,1,4.0,0,47,3,3/47,15.66,11.75,8.0,0,0,India
Hasan Mahmud ,Bangladesh,2,2,8.0,0,69,3,2/27,23.00,8.62,16.0,0,0,Pakistan
JR Hazlewood ,Australia,4,4,13.0,0,138,3,2/39,46.00,10.61,26.0,0,0,India
BE Hendricks ,South Africa,3,3,12.0,0,114,3,3/32,38.00,9.50,24.0,0,0,Pakistan
MC Henriques ,Australia,3,2,5.0,0,31,3,3/22,10.33,6.20,10.0,0,0,India
JO Holder ,West Indies,4,4,16.0,0,119,3,1/19,39.66,7.43,32.0,0,0,Sri Lanka
AJ Hosein ,West Indies,4,4,15.0,0,104,3,1/22,34.66,6.93,30.0,0,0,Bangladesh
Iftikhar Ahmed ,Pakistan,15,4,8.0,0,53,3,3/24,17.66,6.62,16.0,0,0,New Zealand
RA Jadeja ,India,4,4,11.5,0,92,3,2/25,30.66,7.77,23.6,0,0,South Africa
KA Jamieson ,New Zealand,2,2,6.0,0,58,3,3/23,19.33,9.66,12.0,0,0,England
M Jansen ,South Africa,1,1,4.0,0,52,3,3/52,17.33,13.00,8.0,0,0,West Indies
SH Johnson ,Australia,2,2,8.0,0,88,3,2/39,29.33,11.00,16.0,0,0,West Indies
C Karunaratne ,Sri Lanka,2,2,7.0,0,44,3,2/32,14.66,6.28,14.0,0,0,Bangladesh
C Karunaratne ,Sri Lanka,2,2,5.0,0,37,3,2/33,12.33,7.40,10.0,0,0,Pakistan
SC Kuggeleijn ,New Zealand,2,2,6.0,0,37,3,2/23,12.33,6.16,12.0,0,0,Bangladesh
SC Kuggeleijn ,New Zealand,3,3,10.0,0,74,3,2/25,24.66,7.40,20.0,0,0,India
SC Kuggeleijn ,New Zealand,3,3,10.0,0,76,3,2/38,25.33,7.60,20.0,0,0,Sri Lanka
GF Linde ,South Africa,4,4,12.0,0,95,3,3/23,31.66,7.91,24.0,0,0,Pakistan
LS Livingstone ,England,5,5,11.0,0,77,3,1/8,25.66,7.00,22.0,0,0,Sri Lanka
OC McCoy ,West Indies,3,3,10.0,0,82,3,2/37,27.33,8.20,20.0,0,0,Bangladesh
SSB Magala ,South Africa,4,4,14.0,0,138,3,2/33,46.00,9.85,28.0,0,0,Pakistan
SSB Magala ,South Africa,2,2,6.0,0,88,3,3/21,29.33,14.66,12.0,0,0,West Indies
KA Maharaj ,South Africa,4,4,14.4,0,112,3,2/21,37.33,7.63,29.3,0,0,England
KA Maharaj ,South Africa,4,4,14.1,1,77,3,1/10,25.66,5.43,28.3,0,0,Sri Lanka
S Mahmood ,England,3,3,10.0,0,115,3,1/20,38.33,11.50,20.0,0,0,New Zealand
Mahmudullah ,Bangladesh,5,3,4.4,0,32,3,3/10,10.66,6.85,9.3,0,0,Pakistan
SL Malinga ,Sri Lanka,3,3,12.0,0,77,3,2/11,25.66,6.41,24.0,0,0,South Africa
TS Mills ,England,1,1,4.0,0,27,3,3/27,9.00,6.75,8.0,0,0,Bangladesh
AF Milne ,New Zealand,5,5,17.0,0,174,3,1/23,58.00,10.23,34.0,0,0,India
Mohammad Amir ,Pakistan,3,3,12.0,0,92,3,3/27,30.66,7.66,24.0,0,0,Sri Lanka
Mohammad Hafeez ,Pakistan,6,1,4.0,0,28,3,3/28,9.33,7.00,8.0,0,0,England
Mohammad Nawaz ,Pakistan,3,3,11.0,0,96,3,2/36,32.00,8.72,22.0,0,0,West Indies
Mohammad Saifuddin ,Bangladesh,1,1,3.0,0,12,3,3/12,4.00,4.00,6.0,0,0,Australia
Mohammad Wasim ,Pakistan,5,5,17.5,0,190,3,1/30,63.33,10.65,35.6,0,0,England
Mohammad Wasim ,Pakistan,6,6,19.0,0,150,3,2/20,50.00,7.89,38.0,0,0,New Zealand
CH Morris ,South Africa,2,2,7.0,1,54,3,3/32,18.00,7.71,14.0,0,0,Sri Lanka
Mukesh Kumar ,India,2,2,5.0,0,55,3,2/34,18.33,11.00,10.0,0,0,South Africa
Mukesh Kumar ,India,5,5,12.5,0,113,3,1/19,37.66,8.80,25.6,0,0,West Indies
Mustafizur Rahman ,Bangladesh,4,4,15.0,0,90,3,1/14,30.00,6.00,30.0,0,0,England
JDS Neesham ,New Zealand,5,4,7.0,0,82,3,2/25,27.33,11.71,14.0,0,0,England
JDS Neesham ,New Zealand,4,3,8.0,0,72,3,2/30,24.00,9.00,16.0,0,0,Sri Lanka
A Nortje ,South Africa,4,4,14.0,0,104,3,1/12,34.66,7.42,28.0,0,0,England
HH Pandya ,India,8,6,15.0,0,144,3,1/23,48.00,9.60,30.0,0,0,South Africa
HH Pandya ,India,5,5,15.0,0,107,3,2/30,35.66,7.13,30.0,0,0,Sri Lanka
KH Pandya ,India,3,3,11.3,1,78,3,2/23,26.00,6.78,23.0,0,0,West Indies
AR Patel ,India,3,3,10.0,0,74,3,2/24,24.66,7.40,20.0,0,0,Sri Lanka
M Pathirana ,Sri Lanka,2,2,7.4,0,84,3,2/28,28.00,10.95,15.3,0,0,Bangladesh
K Pierre ,West Indies,4,4,10.0,0,106,3,2/44,35.33,10.60,20.0,0,0,India
Pramod Madushan ,Sri Lanka,3,3,10.0,0,96,3,2/37,32.00,9.60,20.0,0,0,New Zealand
D Pretorius ,South Africa,1,1,2.0,0,17,3,3/17,5.66,8.50,4.0,0,0,West Indies
K Rabada ,South Africa,4,4,15.0,0,142,3,1/27,47.33,9.46,30.0,0,0,Australia
K Rabada ,South Africa,5,5,15.0,0,147,3,2/23,49.00,9.80,30.0,0,0,Sri Lanka
CAK Rajitha ,Sri Lanka,3,3,12.0,1,104,3,2/22,34.66,8.66,24.0,0,0,India
CAK Rajitha ,Sri Lanka,4,4,14.0,0,126,3,2/23,42.00,9.00,28.0,0,0,New Zealand
CAK Rajitha ,Sri Lanka,3,3,11.0,0,48,3,1/11,16.00,4.36,22.0,0,0,Pakistan
SHA Rance ,New Zealand,3,3,11.0,0,120,3,3/33,40.00,10.90,22.0,0,0,Sri Lanka
R Ravindra ,New Zealand,6,4,10.0,0,88,3,2/28,29.33,8.80,20.0,0,0,Pakistan
AD Russell ,West Indies,3,3,12.0,0,99,3,2/33,33.00,8.25,24.0,0,0,Sri Lanka
R Sai Kishore ,India,1,1,4.0,0,12,3,3/12,4.00,3.00,8.0,0,0,Bangladesh
DR Sams ,Australia,4,4,10.5,0,123,3,2/33,41.00,11.35,21.6,0,0,India
DR Sams ,Australia,2,2,8.0,0,86,3,2/40,28.66,10.75,16.0,0,0,New Zealand
PADLR Sandakan ,Sri Lanka,1,1,4.0,0,35,3,3/35,11.66,8.75,8.0,0,0,India
BV Sears ,New Zealand,2,2,6.0,0,51,3,2/29,17.00,8.50,12.0,0,0,Australia
Shadab Khan ,Pakistan,4,4,16.0,0,93,3,2/31,31.00,5.81,32.0,0,0,India
Shadab Khan ,Pakistan,4,4,16.0,0,133,3,1/28,44.33,8.31,32.0,0,0,Sri Lanka
Shadab Khan ,Pakistan,7,5,17.0,1,105,3,3/17,35.00,6.17,34.0,0,0,West Indies
Shafiul Islam ,Bangladesh,2,2,7.0,0,54,3,2/27,18.00,7.71,14.0,0,0,Pakistan
Shaheen Shah Afridi ,Pakistan,2,2,8.0,0,56,3,2/21,18.66,7.00,16.0,0,0,Australia
Shaheen Shah Afridi ,Pakistan,2,2,8.0,0,65,3,3/31,21.66,8.12,16.0,0,0,India
Shahnawaz Dahani ,Pakistan,4,4,13.2,0,170,3,2/37,56.66,12.75,26.6,0,0,England
Shakib Al Hasan ,Bangladesh,4,4,14.0,0,93,3,1/13,31.00,6.64,28.0,0,0,England
Shivam Mavi ,India,3,3,5.0,0,42,3,2/12,14.00,8.40,10.0,0,0,New Zealand
L Sipamla ,South Africa,3,3,9.4,0,83,3,2/22,27.66,8.58,19.3,0,0,Sri Lanka
OF Smith ,West Indies,3,3,8.0,0,88,3,1/22,29.33,11.00,16.0,0,0,Bangladesh
OF Smith ,West Indies,6,6,15.0,0,165,3,3/33,55.00,11.00,30.0,0,0,India
OF Smith ,West Indies,2,2,4.0,0,63,3,2/27,21.00,15.75,8.0,0,0,South Africa
MA Starc ,Australia,6,6,20.0,0,165,3,1/20,55.00,8.25,40.0,0,0,England
DW Steyn ,South Africa,2,2,7.0,1,59,3,2/34,19.66,8.42,14.0,0,0,Sri Lanka
MP Stoinis ,Australia,10,6,15.0,0,115,3,2/8,38.33,7.66,30.0,0,0,Sri Lanka
BA Stokes ,England,6,6,14.0,0,124,3,1/25,41.33,8.85,28.0,0,0,India
MJ Swepson ,Australia,2,2,6.0,0,26,3,3/12,8.66,4.33,12.0,0,0,Bangladesh
Taskin Ahmed ,Bangladesh,4,4,13.5,0,141,3,1/24,47.00,10.19,27.6,0,0,New Zealand
Taskin Ahmed ,Bangladesh,2,2,7.0,0,64,3,2/18,21.33,9.14,14.0,0,0,South Africa
M Theekshana ,Sri Lanka,4,4,16.0,0,97,3,1/22,32.33,6.06,32.0,0,0,New Zealand
M Theekshana ,Sri Lanka,2,2,8.0,0,46,3,2/21,15.33,5.75,16.0,0,0,Pakistan
O Thomas ,West Indies,3,2,7.0,0,67,3,2/23,22.33,9.57,14.0,0,0,New Zealand
RJW Topley ,England,3,3,9.0,0,80,3,2/36,26.66,8.88,18.0,0,0,Australia
AJ Tye ,Australia,1,1,4.0,0,37,3,3/37,12.33,9.25,8.0,0,0,West Indies
I Udana ,Sri Lanka,3,3,12.0,0,110,3,1/25,36.66,9.16,24.0,0,0,England
Washington Sundar ,India,4,4,16.0,0,99,3,2/15,33.00,6.18,32.0,0,0,Bangladesh
Washington Sundar ,India,3,2,8.0,0,66,3,2/37,22.00,8.25,16.0,0,0,Sri Lanka
DJ Willey ,England,1,1,4.0,1,25,3,3/25,8.33,6.25,8.0,0,0,South Africa
DJ Willey ,England,2,2,8.0,0,44,3,3/27,14.66,5.50,16.0,0,0,Sri Lanka
KOK Williams ,West Indies,3,3,11.4,0,127,3,2/30,42.33,10.88,23.3,0,0,India
LB Williams ,South Africa,2,2,7.0,0,78,3,2/46,26.00,11.14,14.0,0,0,India
CR Woakes ,England,4,4,12.3,0,72,3,1/9,24.00,5.76,25.0,0,0,Sri Lanka
L Wood ,England,2,2,8.0,0,73,3,3/24,24.33,9.12,16.0,0,0,Pakistan
MA Wood ,England,1,1,3.0,0,9,3,3/9,3.00,3.00,6.0,0,0,West Indies
Zahid Mahmood ,Pakistan,1,1,4.0,0,40,3,3/40,13.33,10.00,8.0,0,0,South Africa
SA Abbott ,Australia,6,6,15.5,0,199,2,1/43,99.50,12.56,47.5,0,0,India
KK Ahmed ,India,3,3,12.0,0,108,2,1/37,54.00,9.00,36.0,0,0,Bangladesh
Rehan Ahmed ,England,1,1,4.0,0,27,2,2/27,13.50,6.75,12.0,0,0,New Zealand
FA Allen ,West Indies,3,3,5.5,0,46,2,1/18,23.00,7.88,17.5,0,0,India
FA Allen ,West Indies,4,3,10.0,0,76,2,2/18,38.00,7.60,30.0,0,0,South Africa
JC Archer ,England,1,1,4.0,0,29,2,2/29,14.50,7.25,12.0,0,0,Pakistan
JC Archer ,England,3,3,12.0,0,90,2,1/18,45.00,7.50,36.0,0,0,South Africa
Arshdeep Singh ,India,2,2,5.3,1,33,2,2/18,16.50,6.00,16.5,0,0,England
Avesh Khan ,India,3,3,12.0,0,109,2,1/33,54.50,9.08,36.0,0,0,Australia
Avesh Khan ,India,1,1,4.0,1,23,2,2/23,11.50,5.75,12.0,0,0,Sri Lanka
XC Bartlett ,Australia,1,1,4.0,0,37,2,2/37,18.50,9.25,12.0,0,0,West Indies
JP Behrendorff ,Australia,1,1,4.0,0,25,2,2/25,12.50,6.25,12.0,0,0,South Africa
TA Boult ,New Zealand,2,2,8.0,0,47,2,2/25,23.50,5.87,24.0,0,0,Bangladesh
TA Boult ,New Zealand,4,4,15.0,0,150,2,2/35,75.00,10.00,45.0,0,0,England
DJ Bravo ,West Indies,4,4,12.0,0,98,2,1/17,49.00,8.16,36.0,0,0,Australia
DJ Bravo ,West Indies,4,1,4.0,0,24,2,2/24,12.00,6.00,12.0,0,0,Pakistan
JJ Bumrah ,India,1,1,3.0,1,10,2,2/10,5.00,3.33,9.0,0,0,England
DL Chahar ,India,1,1,3.0,0,24,2,2/24,12.00,8.00,9.0,0,0,Sri Lanka
RD Chahar ,India,2,2,7.0,0,68,2,2/35,34.00,9.71,21.0,0,0,England
RL Chase ,West Indies,2,2,5.2,0,36,2,2/19,18.00,6.75,16.0,0,0,Australia
DT Christian ,Australia,3,2,6.0,0,26,2,2/17,13.00,4.33,18.0,0,0,Bangladesh
SS Cottrell ,West Indies,3,3,7.0,0,84,2,2/31,42.00,12.00,21.0,0,0,South Africa
SS Cottrell ,West Indies,2,2,6.1,0,43,2,1/14,21.50,6.97,18.5,0,0,Sri Lanka
